Exc-wall dist (cm),Tag-wall dist (cm),Tag Voltage (mV)
287.9,38.4,[np.float64(43.91)]
287.9,39.4,[np.float64(61.07)]
287.9,40.4,[np.float64(91.06)]
287.9,41.4,[np.float64(120.36)]
287.9,42.4,[np.float64(150.72)]
287.9,43.4,[np.float64(173.38)]
287.9,44.4,[np.float64(193.98)]
287.9,45.4,[np.float64(208.93)]
287.9,46.4,[np.float64(214.35)]
287.9,47.4,[np.float64(211.53)]
287.9,48.4,[np.float64(198.1814)]
287.9,49.4,[np.float64(148.36)]
287.9,50.4,[np.float64(129.66)]
287.9,51.4,[np.float64(109.29)]
287.9,52.4,[np.float64(91.06)]
287.9,53.4,[np.float64(68.78)]
287.9,54.4,[np.float64(51.54)]
287.9,55.4,[np.float64(40.09)]
287.9,56.4,[np.float64(32.08)]
287.9,57.4,[np.float64(28.8)]
287.9,58.4,[np.float64(29.03)]
287.9,59.4,[np.float64(32.08)]
287.9,60.4,[np.float64(35.74)]
287.9,61.4,[np.float64(43.3)]
287.9,62.4,[np.float64(53.14)]
287.9,63.4,[np.float64(65.96)]
287.9,64.4,[np.float64(76.56)]
287.9,65.4,[np.float64(88.77)]
287.9,66.4,[np.float64(101.05)]
287.9,67.4,[np.float64(109.45)]
287.9,68.4,[np.float64(117.99)]
287.9,69.4,[np.float64(125.01)]
287.9,70.4,[np.float64(129.05)]
287.9,71.4,[np.float64(126.23)]
287.9,72.4,[np.float64(120.36)]
287.9,73.4,[np.float64(108.76)]
287.9,74.4,[np.float64(91.74)]
287.9,75.4,[np.float64(71.07)]
287.9,76.4,[np.float64(50.7)]
287.9,77.4,[np.float64(36.96)]
287.9,78.4,[np.float64(29.03)]
287.9,79.4,[np.float64(26.82)]
287.9,80.4,[np.float64(32.46)]
287.9,81.4,[np.float64(41.47)]
287.9,82.4,[np.float64(54.13)]
287.9,83.4,[np.float64(68.4)]
287.9,84.4,[np.float64(83.28)]
287.9,85.4,[np.float64(97.47)]
287.9,86.4,[np.float64(136.3)]
287.9,87.4,[np.float64(154.08)]
287.9,88.4,[np.float64(164.61)]
287.9,89.4,[np.float64(166.29)]
287.9,90.4,[np.float64(159.19)]
287.9,91.4,[np.float64(141.72)]
287.9,92.4,[np.float64(120.05)]
287.9,93.4,[np.float64(101.13)]
287.9,94.4,[np.float64(79.92)]
287.9,95.4,[np.float64(67.94)]
287.9,96.4,[np.float64(57.56)]
287.9,97.4,[np.float64(55.89)]
287.9,98.4,[np.float64(64.58)]
287.9,99.4,[np.float64(75.57)]
287.9,100.4,[np.float64(91.82)]
287.9,101.4,[np.float64(112.12)]
287.9,102.4,[np.float64(139.51)]
287.9,103.4,[np.float64(163.39)]
287.9,104.4,[np.float64(181.01)]
287.9,105.4,[np.float64(182.08)]
287.9,106.4,[np.float64(173.46)]
287.9,107.4,[np.float64(151.33)]
