,Rx,Tx,MPP Start Time (s),MPP Stop Time (s),Voltages (mV),Frequency (MHz),Run Exp Num,NumMPPs,Laser dist,Tape dist
0,Tag1,Tag2,1756672243.7117615,1756672245.0145023,"[105.78  93.96  94.19  94.03  94.19  93.88  93.88  93.73  93.96  93.96
  91.29  91.13  91.21  91.74  91.29  91.36  91.13  91.21  91.52  91.52
  88.85  88.46  88.62  88.69  88.39  88.46  88.62  88.39  88.46  88.85
 112.19 112.27 112.27 112.27 112.19 111.81 112.57 112.34 112.27 112.5
 104.56 104.87 104.72 104.56 104.56 104.49 104.79 104.87 104.56 104.33
  95.86  95.71  95.56  95.79  96.17  96.17  95.86  95.79  96.4   96.4
  93.96  93.96  93.96  93.88  93.8   94.19  94.03  93.96  94.26  91.52
  91.52  91.52  91.52  91.52  91.67  91.29  90.91  91.59  91.13  88.54
  88.69  88.77  89.3   88.92  88.85  88.62  88.92  88.46  88.85 111.96
 112.19 112.19 112.12 112.88 112.27 112.27 112.5  112.34 112.8  104.64
 104.79 104.94 105.1  105.02 104.49 104.87 104.79 105.33 104.64  96.25
  96.09  96.02  95.56  96.17  96.02  96.25  96.25  96.32  94.19  94.03
  93.65  94.03  94.19  93.8   93.96  93.96  93.88  93.96  91.52  91.29
  91.13  90.83  90.98  91.21  91.67  91.36  91.52  91.44  89.07  89.3
  88.92  89.07  88.92  88.31  88.46  88.77  88.92  88.77 112.04 111.81
 112.5  112.19 112.27 112.65 112.27 112.42 112.42 112.8  104.56 104.72
 104.72 104.79 104.94 104.79 104.87 104.72 104.49 105.17  96.02  96.09
  95.86  95.86  96.02  95.71  95.48  95.94  96.17  94.03  93.8   94.11
  94.11  94.19  93.88  94.11  94.26  94.19  93.88  90.98  90.98  90.98
  91.06  91.21  90.98  91.21  91.36  91.59  91.29  88.62  88.46  88.62
  88.92  88.77  88.46  88.85  88.62  88.77  88.92 112.19 112.04 112.27
 112.27 112.42 112.27 112.19 111.96 112.42 112.27 104.56 104.41 104.49
 104.87 104.79 105.02 104.56 104.56 104.33 104.79  95.94  95.94  96.17
  95.71  96.25  96.09  96.48  96.4   96.17  94.19  94.03  93.96  94.11
  94.19  93.8   94.03  93.8   93.96  94.34  91.36  91.06  91.52  91.29
  91.13  90.91  91.52  91.06  91.44  91.06  89.    88.16  88.77  88.54
  88.92  88.69  88.46  88.69  88.46  88.62 112.12 112.27 112.42 112.27
 112.5  112.04 112.27 112.5  112.12 112.34 104.64 105.1  104.87 104.72
 104.64 104.72 104.56 104.64 104.87  95.79  95.79  95.94  96.4   96.25
  96.17  95.71  96.02  95.71  96.17  96.09  96.25  96.09  96.17]",775,0,5,0.308,0.3
1,Tag2,Tag1,1756672246.2376394,1756672247.532801,"[177.5   90.52  90.83  90.98  90.6   90.75  90.83  90.91  90.75  90.91
  90.22  89.99  90.22  89.99  89.84  90.14  89.84  89.91  90.3   89.91
  92.89  92.81  92.58  92.81  93.04  92.43  92.97  93.04  93.04  94.19
  94.42  93.8   93.65  94.19  94.34  94.42  93.88  94.03  94.26  89.
  89.68  89.23  89.15  89.38  89.38  89.61  89.07  89.76  88.92  85.79
  85.79  85.72  85.56  85.26  85.72  85.41  85.64  85.79  85.87  91.06
  91.13  91.13  91.06  90.98  90.98  90.91  90.98  91.36  90.91  90.6
  90.07  89.76  90.14  89.91  90.07  89.68  90.37  90.3   92.51  92.89
  92.89  92.51  93.35  92.89  92.89  92.81  92.58  93.04  94.03  93.65
  94.19  94.03  94.11  94.03  93.88  93.88  93.96  94.87  89.07  89.15
  89.15  89.    89.38  89.38  88.85  89.23  89.15  89.61  86.4   85.79
  85.79  86.48  85.64  85.72  85.34  85.56  85.56  85.72  90.83  90.91
  90.75  90.83  91.29  90.6   90.52  91.29  91.44  91.29  89.91  90.3
  89.99  89.76  89.46  89.84  89.53  90.14  89.38  92.89  92.97  92.97
  92.89  92.89  92.81  92.58  92.97  92.97  93.04  94.26  94.57  93.8
  93.73  93.73  94.11  93.73  94.11  93.8   93.8   89.15  89.61  89.07
  89.3   89.46  89.3   89.46  89.15  89.3   89.3   85.95  85.34  85.49
  85.79  85.26  85.41  85.34  85.56  85.56  85.49  91.13  91.13  91.13
  91.13  91.13  90.83  91.06  91.13  91.67  91.67  91.82  89.91  90.22
  90.22  90.22  89.68  89.68  89.99  90.14  93.27  93.12  93.27  93.04
  92.81  92.97  93.12  93.04  92.74  93.35  94.49  93.96  94.26  94.19
  94.11  94.26  94.03  93.96  93.88  94.19  89.61  89.46  89.46  89.46
  89.15  89.53  89.    89.3   89.15  89.61  85.72  85.41  85.64  85.56
  85.72  85.79  85.56  85.49  85.87  85.79  91.36  91.21  91.06  90.91
  91.06  90.75  90.6   90.75  91.29  89.84  90.22  89.61  89.76  90.07
  90.14  89.46  89.99  89.91  90.14  93.19  93.12  92.81  93.12  92.66
  92.51  92.89  92.74  92.89  93.27  93.88  94.42  94.03  93.88  93.73
  94.19  93.96  94.26  94.03  94.03  89.15  89.07  88.92  89.    89.15
  89.07  89.15  89.07  89.    89.07  85.11  85.26  85.72  85.56  85.56
  85.72  85.64  85.64  86.1   85.56  85.64  85.72  85.64  85.72]",775,0,5,0.308,0.3
2,Tag1,Tag2,1756672248.7529466,1756672250.0580428,"[ 95.94 193.68 193.75 194.13 193.6  194.21 194.36 194.21 193.75 194.13
 188.41 189.4  188.79 188.87 189.17 189.86 189.56 189.02 189.25 189.25
 191.08 191.16 191.23 190.78 190.7  191.   191.16 190.93 190.62 191.
 229.3  229.84 228.62 229.69 229.08 229.08 229.46 229.99 229.69 229.46
 214.81 215.65 213.74 214.73 214.2  214.89 213.89 214.81 214.89 214.2
 198.33 197.8  197.49 197.18 197.26 197.64 196.8  197.87 197.87 197.34
 193.68 193.6  194.06 193.83 193.75 193.83 193.75 194.29 193.52 189.48
 189.94 189.94 189.78 189.1  189.4  189.17 189.71 189.33 189.25 191.16
 191.   190.7  191.31 191.54 191.   191.08 190.78 190.55 191.16 229.38
 229.38 229.23 228.92 228.85 229.92 230.07 229.99 229.08 229.46 215.27
 214.89 214.2  215.04 213.74 214.58 214.2  214.43 214.12 213.89 197.57
 198.02 197.72 197.95 197.34 197.34 197.26 197.34 197.18 197.26 193.98
 193.83 193.9  193.9  194.13 193.45 194.21 194.21 194.36 189.71 188.79
 188.41 189.56 188.94 188.87 189.63 189.63 189.48 189.63 191.08 190.93
 190.93 191.16 190.47 190.32 191.   190.78 190.7  190.93 229.3  230.45
 230.14 229.76 229.46 229.53 229.15 230.07 229.76 229.99 214.5  215.19
 213.74 214.58 213.97 214.2  214.58 214.05 214.73 214.43 197.72 198.56
 197.11 197.49 197.8  197.11 198.1  197.18 197.41 193.98 193.52 194.36
 194.44 193.68 193.68 193.6  194.21 194.59 193.98 189.25 189.48 189.48
 189.63 189.71 189.48 190.17 189.56 189.33 189.33 191.39 190.24 191.16
 191.23 190.32 190.55 191.31 191.16 191.   190.85 229.92 230.14 228.92
 229.53 229.15 229.69 228.85 229.92 229.76 229.84 213.89 214.73 214.35
 215.11 214.5  214.89 213.59 214.73 214.27 214.05 198.02 197.95 197.57
 198.1  197.34 197.34 197.64 197.41 197.87 194.21 194.29 193.29 194.21
 194.44 193.9  193.9  193.98 193.45 194.67 189.63 189.78 189.4  188.72
 189.94 189.78 189.94 189.48 189.48 189.33 191.54 190.39 191.   190.7
 190.7  190.7  191.92 191.23 190.55 190.93 229.38 229.69 229.3  230.22
 229.53 228.85 230.22 229.46 229.92 229.46 214.89 214.12 214.2  215.11
 214.66 215.19 214.2  214.73 214.43 197.34 197.41 197.8  197.11 197.26
 197.87 197.8  196.8  197.64 197.11 197.95 197.64 197.57 198.1 ]",785,0,5,0.308,0.3
3,Tag2,Tag1,1756672251.2921472,1756672252.5994987,"[ 85.11 188.94 189.71 189.56 189.78 189.33 189.4  189.33 189.4  189.56
 189.78 188.64 188.49 188.33 188.18 188.41 188.26 188.41 188.49 188.11
 188.56 191.54 191.84 191.84 191.62 191.31 191.69 191.62 191.62 191.08
 190.32 190.09 190.01 190.32 190.39 190.01 190.32 190.24 189.86 190.01
 178.57 178.49 178.65 178.34 178.11 178.26 178.42 177.88 178.34 178.42
 182.08 182.   182.08 182.46 182.23 182.31 182.23 181.85 182.15 182.
 189.48 188.87 189.25 189.02 189.17 189.48 189.4  189.86 189.63 189.71
 188.26 188.41 187.95 187.95 187.95 187.88 187.95 187.95 188.11 191.92
 191.84 192.   192.   191.77 191.92 192.07 192.   191.84 191.84 191.08
 190.39 190.55 189.63 189.86 190.32 189.86 190.55 189.86 189.94 178.26
 177.81 178.11 178.72 178.26 178.34 178.03 178.03 178.57 178.57 182.69
 181.93 182.08 182.   182.   182.23 181.7  181.77 182.15 182.15 188.72
 188.79 189.17 188.56 188.94 188.79 189.33 189.1  189.48 189.02 187.8
 188.56 187.88 188.18 187.57 187.8  187.72 188.11 187.88 191.62 191.84
 191.46 191.39 191.23 191.77 191.62 191.54 191.84 191.84 190.62 189.86
 190.09 190.01 190.01 189.78 189.78 189.4  190.09 189.86 178.49 177.96
 178.19 177.96 178.49 178.19 178.49 178.42 178.19 178.03 181.77 182.15
 182.15 182.23 181.7  181.7  181.85 181.62 181.85 181.85 189.02 188.94
 189.25 189.63 189.71 189.33 189.71 189.63 189.56 188.64 188.41 187.88
 188.41 188.33 188.18 187.88 188.03 188.11 187.88 192.15 191.62 191.69
 191.54 191.84 191.62 191.08 191.39 191.77 191.92 190.7  190.24 191.
 190.01 190.39 189.94 190.09 190.09 189.86 190.09 178.34 178.19 178.42
 178.49 178.65 178.19 178.49 178.49 178.72 178.72 182.84 182.23 182.31
 182.   181.93 182.23 182.15 181.85 182.08 182.15 188.94 188.87 188.94
 188.94 189.56 189.1  189.78 188.64 189.78 187.95 187.65 187.72 188.03
 187.34 188.26 187.72 188.79 188.18 188.41 191.92 191.62 191.39 191.62
 191.31 191.62 191.62 191.54 191.69 191.54 189.86 190.09 189.94 189.94
 190.47 190.32 190.32 189.94 189.94 190.09 178.26 178.34 178.57 178.49
 178.26 178.26 178.34 178.11 178.65 178.49 182.61 182.92 182.08 181.77
 181.93 181.7  182.   181.77 182.   182.15 181.39 182.   181.47]",785,0,5,0.308,0.3
4,Tag1,Tag2,1756672253.835909,1756672255.1373992,"[197.11 262.04 262.72 262.8  262.72 263.03 263.87 262.87 263.1  262.42
 264.48 264.32 264.17 264.55 264.17 264.25 264.4  264.55 264.71 291.64
 291.41 292.17 290.8  290.8  291.64 290.72 291.18 291.79 291.79 292.71
 292.78 292.86 292.32 293.01 292.71 292.86 292.94 293.24 292.78 276.46
 276.53 276.99 275.84 277.07 276.84 276.38 276.07 275.84 275.92 264.1
 263.94 263.94 264.02 263.87 263.41 264.48 263.87 264.4  263.94 263.1
 262.57 263.1  263.03 263.56 262.87 263.03 263.03 262.87 264.4  264.86
 264.17 264.78 264.32 264.4  264.55 264.32 264.71 265.09 291.64 291.64
 291.1  291.1  291.56 290.72 291.18 291.18 291.71 291.79 292.71 292.86
 292.78 293.01 292.4  292.02 292.4  292.78 293.16 292.32 276.76 276.76
 276.61 276.   276.46 276.38 276.46 276.15 276.68 276.23 264.25 264.25
 265.24 264.25 264.17 263.94 264.48 263.79 263.56 264.17 262.87 262.72
 262.42 262.8  263.18 263.33 262.8  262.49 262.49 264.55 264.48 264.25
 264.71 264.25 264.02 264.4  264.48 264.25 264.55 291.56 291.03 291.03
 291.1  291.26 291.87 291.79 291.87 291.26 290.95 292.94 293.16 292.48
 293.32 292.48 293.09 293.24 292.48 293.24 292.78 276.23 275.84 276.61
 276.   276.3  276.15 276.07 276.23 276.23 276.15 264.02 263.87 264.32
 264.02 263.33 264.63 264.17 264.4  264.63 264.48 263.1  262.87 262.72
 262.65 263.33 263.18 263.49 263.26 263.18 264.86 265.09 264.02 264.78
 264.71 264.25 264.78 264.55 264.63 264.25 291.33 291.03 291.79 291.26
 292.02 291.41 291.41 291.64 291.71 291.94 292.25 292.71 292.86 292.63
 292.94 292.94 293.01 292.1  293.24 293.01 276.3  276.61 276.   276.53
 276.76 276.46 276.38 276.23 276.53 275.69 264.32 264.25 264.48 264.17
 263.41 263.79 264.25 264.4  263.64 262.8  263.1  263.1  263.1  262.65
 262.65 262.72 262.65 262.95 263.1  263.87 264.71 264.63 264.4  263.79
 264.71 264.4  264.48 264.48 264.48 291.71 290.95 291.26 291.64 291.64
 291.56 291.33 291.64 291.49 291.79 292.4  292.71 293.39 292.78 292.94
 292.63 292.78 292.94 292.94 292.55 276.68 276.84 276.3  275.69 276.46
 276.   276.23 276.15 276.38 276.46 264.55 264.1  263.56 264.63 263.49
 264.17 263.71 263.87 263.56 264.17 264.4  263.49 264.4 ]",795,0,5,0.308,0.3
5,Tag2,Tag1,1756672256.3770585,1756672257.6741009,"[182.31 224.88 224.73 224.8  225.19 225.03 224.96 224.42 225.64 224.73
 223.35 223.13 223.28 223.05 222.97 222.82 223.13 223.35 222.97 229.23
 228.85 229.08 229.69 229.   229.84 229.99 229.76 229.84 229.46 226.94
 226.86 227.4  226.79 226.94 226.94 226.94 227.02 226.71 226.79 212.37
 212.29 212.44 212.37 212.29 212.37 212.44 212.29 212.52 212.29 217.63
 217.4  216.87 217.25 217.02 217.25 217.17 217.4  217.63 217.56 225.03
 224.73 225.19 225.11 225.57 225.26 225.19 225.03 225.19 224.73 223.28
 223.58 223.66 223.28 223.28 222.97 223.13 223.2  223.43 229.76 229.3
 229.3  229.84 229.61 229.3  229.23 229.76 229.23 229.15 227.17 227.09
 227.17 227.32 227.09 227.09 227.7  227.09 227.02 227.32 212.44 212.29
 212.21 212.06 211.6  212.14 212.29 211.83 212.75 212.06 216.79 216.87
 217.25 217.48 217.1  217.17 217.02 217.56 216.87 217.02 225.19 225.11
 224.96 224.8  225.41 224.88 224.8  225.57 225.19 224.96 223.89 223.43
 223.2  223.51 223.2  223.43 223.43 223.05 224.12 229.46 228.85 229.53
 229.61 229.76 228.92 229.3  229.38 229.38 229.99 226.48 226.94 226.41
 226.86 226.86 226.79 226.86 226.79 226.63 227.24 211.68 212.21 212.06
 211.99 211.91 212.06 212.21 211.83 211.91 211.99 217.25 216.79 217.17
 217.17 217.33 217.25 217.1  217.33 217.4  217.1  224.5  224.96 224.96
 225.19 225.03 224.57 225.41 225.03 225.72 223.43 223.58 223.43 223.28
 223.58 223.51 223.58 223.43 223.51 223.66 229.38 229.61 229.23 229.38
 229.23 229.08 229.   229.15 229.15 229.99 227.09 227.63 226.94 227.02
 227.32 226.63 227.17 227.17 227.09 227.24 212.29 212.29 212.9  212.29
 212.21 212.52 212.21 212.14 212.52 212.44 216.72 216.72 217.02 217.25
 216.95 216.72 216.95 217.1  217.63 217.4  225.19 225.26 224.65 224.8
 225.64 224.8  224.27 224.8  224.12 223.2  223.74 223.58 223.66 223.51
 223.28 223.74 223.66 223.58 223.81 229.46 229.15 229.69 229.99 229.15
 229.53 229.3  229.53 229.76 229.38 227.02 226.79 226.94 226.86 227.17
 226.71 226.86 226.56 226.79 227.32 212.06 212.14 212.29 212.21 212.6
 212.21 212.29 212.67 212.14 212.67 217.94 217.4  217.4  217.33 217.25
 217.02 216.79 217.17 217.33 217.4  216.87 217.48 217.1 ]",795,0,5,0.308,0.3
6,Tag1,Tag2,1756672258.9146454,1756672260.218841,"[263.49 291.71 293.47 293.32 293.55 293.39 292.48 292.94 292.71 293.16
 292.86 294.69 294.84 295.3  295.15 295.38 295.99 295.83 296.06 295.22
 325.51 325.13 325.06 324.37 325.28 325.44 325.21 325.21 324.98 325.51
 319.18 318.8  318.27 318.95 320.02 318.34 318.65 318.8  319.03 319.1
 304.3  305.22 304.07 304.15 304.23 304.68 304.46 305.07 304.46 304.23
 294.16 293.85 294.16 293.39 294.16 294.   293.55 294.16 294.31 293.32
 293.01 292.48 292.78 292.55 293.47 292.71 292.71 293.09 293.09 295.53
 295.22 295.76 295.53 295.22 294.92 295.38 294.84 295.22 294.69 325.36
 324.75 324.29 324.52 324.22 324.75 325.13 325.21 325.36 325.67 319.26
 318.49 318.49 317.96 319.18 319.79 319.64 319.26 318.72 319.1  304.53
 304.53 304.91 305.52 304.61 304.23 304.23 304.61 304.84 304.76 293.77
 293.77 294.   294.08 293.93 294.38 294.23 294.16 293.01 294.31 293.7
 293.32 292.71 292.71 292.86 293.24 292.94 292.86 293.32 295.3  295.07
 295.53 294.92 295.   294.92 295.15 294.84 295.61 295.22 324.83 324.67
 324.6  325.44 324.9  325.13 325.59 324.67 324.67 325.28 319.41 318.65
 319.64 319.41 318.95 318.88 318.65 319.18 318.88 319.26 304.38 304.53
 303.92 304.23 304.61 304.46 304.46 304.46 304.23 303.92 293.01 293.55
 293.39 294.08 293.62 294.   294.38 293.7  294.   293.93 293.01 292.55
 292.78 292.94 293.62 294.08 293.16 293.09 293.09 295.07 294.84 295.3
 295.22 295.22 295.15 295.83 294.92 294.84 294.54 324.98 325.36 324.67
 325.28 324.14 324.83 324.52 324.9  325.13 325.28 319.26 319.41 318.65
 319.18 319.18 319.26 317.96 319.18 319.18 319.26 304.23 304.53 304.3
 304.46 303.77 304.68 304.23 305.07 304.68 304.91 294.16 293.55 294.31
 294.23 293.93 294.   294.08 293.93 293.55 292.94 292.71 293.09 293.62
 293.7  293.16 292.94 293.32 293.24 292.94 295.38 294.77 295.3  295.15
 295.38 295.07 294.84 295.22 294.61 295.45 324.98 324.52 325.59 324.67
 324.6  324.37 324.6  326.05 324.22 325.59 319.41 318.34 319.18 319.41
 318.88 318.95 318.8  318.65 318.95 319.1  304.38 304.61 304.68 304.46
 303.92 304.15 304.84 305.22 304.46 304.68 293.47 293.47 294.08 293.93
 294.   294.16 293.85 294.77 293.55 293.55 293.39 293.32 294.  ]",805,0,5,0.308,0.3
7,Tag2,Tag1,1756672261.4533014,1756672262.7631269,"[217.48 268.06 267.76 267.91 267.3  267.99 267.91 268.06 268.75 268.83
 267.99 266.84 266.23 266.23 266.   266.46 267.22 267.15 266.61 266.99
 271.11 271.88 272.18 271.42 271.5  271.95 271.42 272.49 272.11 272.11
 256.47 256.24 256.54 256.54 256.24 256.69 256.69 256.08 256.31 256.92
 253.26 253.26 253.34 253.49 252.65 253.11 253.11 253.03 254.02 253.64
 260.97 260.59 261.12 260.36 260.74 260.43 260.43 260.43 260.36 260.43
 268.29 268.22 267.61 267.3  267.83 267.68 268.6  267.76 267.99 268.06
 266.46 266.77 265.85 266.46 267.07 266.31 266.54 265.85 266.16 272.26
 272.34 271.27 272.03 271.5  271.8  272.34 271.88 272.11 271.88 256.24
 257.31 256.39 256.24 256.08 256.77 256.85 256.08 256.16 255.86 253.57
 252.8  253.03 253.11 252.96 253.11 253.03 253.03 253.95 253.11 260.89
 259.98 260.43 260.05 260.74 260.51 260.36 261.04 260.51 260.43 268.22
 268.29 268.75 268.52 268.44 267.83 268.67 268.6  267.68 266.46 266.69
 266.08 266.31 266.54 266.46 266.23 266.46 267.07 266.38 271.95 271.42
 271.8  272.49 271.95 272.41 271.34 271.65 272.03 271.11 256.39 256.31
 256.01 256.77 256.31 256.54 256.92 256.08 256.77 256.47 253.19 253.8
 252.96 253.8  253.41 253.11 252.96 253.57 253.57 252.96 261.04 260.28
 260.51 260.81 260.74 260.2  260.36 260.74 259.98 260.66 268.37 267.38
 268.6  267.68 268.22 267.83 267.83 267.3  267.53 266.54 265.93 266.54
 266.38 266.08 266.46 266.31 265.93 265.85 266.54 272.26 271.95 271.88
 271.34 271.57 271.42 272.11 271.73 272.56 271.19 256.08 255.63 256.39
 255.7  256.16 255.93 255.78 256.54 255.78 256.24 253.41 252.65 252.35
 252.96 252.73 253.57 252.5  253.03 252.73 252.73 259.98 260.13 260.36
 259.9  259.75 260.81 260.13 260.51 260.89 263.71 267.99 268.14 268.14
 268.29 268.67 268.29 268.6  268.67 268.67 266.46 267.38 266.   266.84
 266.61 266.84 266.31 266.69 265.7  266.23 271.57 271.57 271.42 271.57
 271.34 272.11 272.18 271.27 271.73 271.88 256.62 256.31 255.4  256.62
 256.69 257.23 256.54 256.47 255.93 256.39 252.88 253.34 253.34 253.11
 252.88 253.19 253.49 252.88 253.03 253.49 260.51 260.28 260.59 259.9
 260.81 260.28 260.43 260.43 259.9  261.04 260.59 260.74 260.13]",805,0,5,0.308,0.3
8,Tag1,Tag2,1756672264.010971,1756672265.3134716,"[293.77 389.52 389.52 389.83 389.45 389.98 389.83 390.44 389.37 389.6
 400.97 400.89 401.5  400.59 400.89 401.58 400.36 400.89 400.82 454.76
 454.45 455.21 455.37 453.99 454.38 454.38 454.6  455.06 454.45 397.92
 397.54 397.69 398.83 398.22 397.31 397.84 398.37 398.22 398.22 387.08
 387.46 387.54 386.85 386.85 387.39 386.78 386.47 386.24 386.85 386.17
 386.63 386.24 386.85 386.4  386.55 386.32 387.08 386.47 386.93 389.68
 389.14 390.21 389.83 389.75 390.59 389.45 390.67 389.6  390.21 400.82
 400.89 400.74 401.2  400.97 401.81 400.82 400.74 400.89 454.38 454.22
 454.38 454.76 454.83 454.15 455.37 453.69 454.68 454.3  398.37 397.69
 397.99 397.84 397.99 398.15 397.99 398.07 397.38 397.46 387.01 386.7
 387.01 387.54 387.24 386.78 387.08 386.7  387.16 387.39 386.47 385.86
 386.32 386.63 386.4  387.16 386.7  386.4  385.71 386.32 389.3  389.83
 388.91 389.68 389.37 389.91 389.68 389.22 389.6  401.12 400.97 400.82
 400.36 400.66 400.36 400.82 400.43 400.21 401.05 454.22 454.68 454.76
 453.61 454.83 455.29 454.68 453.92 454.15 454.76 397.46 397.92 397.76
 397.23 397.92 397.92 398.15 397.69 398.15 398.07 387.31 387.54 387.08
 386.17 386.63 387.01 386.93 386.63 386.7  387.46 386.17 386.55 387.24
 386.32 386.55 386.93 386.32 386.32 386.4  387.24 390.06 389.6  389.91
 389.98 389.68 389.98 390.29 389.3  390.82 400.89 401.73 401.27 400.21
 400.43 400.89 400.74 400.97 400.82 400.82 454.07 454.53 454.6  454.53
 455.06 454.38 454.15 454.6  454.68 454.76 398.15 397.54 397.76 397.76
 397.31 398.37 397.15 398.37 397.38 397.99 387.31 387.77 386.63 386.85
 386.93 387.54 386.78 386.55 387.46 386.85 385.71 385.79 387.01 386.78
 386.17 385.94 385.79 386.63 386.17 386.78 390.36 389.52 389.75 390.36
 390.36 389.91 390.52 390.29 390.06 400.97 400.66 401.43 400.82 400.97
 400.66 400.74 401.12 401.05 400.97 454.07 453.92 454.15 455.52 454.07
 454.22 453.92 454.3  454.76 454.38 398.83 397.08 398.22 398.07 398.07
 397.61 398.07 397.84 398.3  397.92 387.54 386.85 386.85 387.24 387.16
 387.16 387.16 386.93 386.85 387.39 386.78 386.47 386.32 386.32 386.24
 386.78 386.7  386.7  387.24 386.02 386.93 386.4  386.32]",815,0,5,0.308,0.3
9,Tag2,Tag1,1756672266.5518134,1756672267.849507,"[260.2  449.34 449.03 448.58 449.03 449.19 448.88 449.42 450.56 449.42
 447.97 446.14 446.52 448.27 447.36 446.67 447.81 446.59 446.97 458.27
 458.34 456.89 458.27 458.11 458.5  457.27 456.59 458.19 457.12 425.99
 425.   426.3  425.15 426.53 426.83 426.07 426.83 426.07 426.38 431.26
 431.18 429.73 431.72 431.18 431.41 431.18 430.65 431.56 431.41 439.8
 438.96 438.66 438.35 438.51 438.58 439.8  438.89 439.96 439.27 449.34
 448.88 449.65 449.03 449.26 450.79 450.33 449.26 449.95 447.51 446.75
 445.91 447.81 447.36 446.59 446.06 447.97 446.44 446.29 457.27 457.5
 458.65 457.96 458.34 457.58 455.98 458.88 456.74 458.42 427.06 425.76
 425.76 425.92 425.08 425.54 425.15 426.6  425.99 425.23 431.18 429.73
 432.25 431.03 430.57 430.95 431.11 431.79 430.34 431.72 439.73 438.74
 439.27 438.35 439.27 438.2  438.2  438.74 439.57 438.2  448.12 448.96
 449.95 449.34 449.72 449.26 450.1  448.81 451.09 447.13 447.2  446.36
 446.06 446.44 446.14 444.91 446.52 446.14 445.45 457.96 457.35 458.11
 458.65 457.5  459.33 458.34 456.74 458.95 456.21 426.22 426.45 425.46
 425.54 426.53 426.6  424.54 426.07 426.22 426.15 430.5  430.88 430.42
 430.5  431.56 431.72 431.41 430.8  431.03 430.42 439.04 439.42 437.97
 439.42 438.66 439.57 438.58 439.5  439.57 438.89 450.26 448.96 450.03
 450.48 450.64 450.1  449.57 451.48 449.34 447.51 446.97 448.42 447.51
 446.97 447.59 448.2  448.65 447.36 446.36 458.65 456.74 458.19 457.12
 457.2  458.57 458.42 457.81 458.04 457.35 426.6  425.15 426.15 425.54
 425.92 426.6  425.23 425.31 424.93 424.93 431.11 431.03 429.96 430.11
 431.33 431.33 430.72 430.8  430.8  431.18 439.27 438.96 439.19 440.26
 439.27 439.04 439.96 438.74 439.65 450.18 450.64 450.26 449.42 450.56
 449.49 449.42 450.33 450.03 450.48 446.97 447.2  446.44 446.29 446.44
 446.44 447.43 447.36 445.6  447.13 457.27 456.97 458.04 457.35 458.34
 457.05 457.58 457.43 456.44 457.5  426.53 426.6  425.38 425.54 425.69
 425.46 427.29 427.14 425.76 426.53 430.19 431.41 430.88 430.5  431.49
 430.57 430.19 431.79 430.11 430.5  439.35 439.73 438.74 440.57 439.19
 439.57 438.43 439.96 439.04 438.89 439.96 439.57 438.89]",815,0,5,0.308,0.3
