Exc-wall dist (cm),Tag-wall dist (cm),Tag Voltage (mV)
121.2,5.5,[454.6  454.15 454.45 453.38 453.31 454.3  453.92 454.6 ]
121.2,6.5,[449.8  450.26 450.87 450.48 449.8  450.48 449.72 450.71]
121.2,7.5,[434.16 433.7  434.23 435.   435.23 434.54 434.77 434.39]
121.2,8.5,[410.2  410.43 410.58 410.2  410.43 411.65 410.35 410.35]
121.2,9.5,[409.36 409.06 408.67 408.52 408.9  409.06 410.05 409.21]
121.2,10.5,[376.71 376.71 377.09 376.55 376.71 377.24 376.55 376.63]
121.2,11.5,[314.83 314.37 314.6  315.14 314.15 314.3  314.83 314.91]
121.2,12.5,[248.76 249.37 248.53 249.68 248.84 249.45 249.14 248.91]
121.2,13.5,[162.39 162.32 162.62 162.39 161.86 162.39 162.24 162.09]
121.2,14.5,[85.41 85.64 85.72 85.79 85.11 85.72 85.72 85.64 85.41]
121.2,15.5,[26.89 26.82 26.82 26.89 26.89 26.89 26.67 27.43 26.97]
121.2,16.5,[18.65 18.58 18.81 18.81 18.73 18.65 18.5  18.5  18.5 ]
121.2,17.5,[64.97 65.12 64.89 64.89 65.19 65.04 65.19 65.19 65.04]
121.2,18.5,[145.76 145.53 145.84 145.76 145.91 146.07 145.91 145.99]
121.2,19.5,[247.16 247.69 247.39 247.39 247.62 247.54 247.54 247.46]
121.2,20.5,[318.57 318.19 317.58 317.5  317.81 318.19 318.8  318.19]
121.2,21.5,[367.25 367.4  367.4  367.4  367.32 366.41 366.41 366.25]
121.2,22.5,[393.95 394.25 393.19 393.49 393.11 392.58 393.64 393.26]
121.2,23.5,[403.64 403.79 403.87 405.32 403.87 404.78 404.02 404.55]
121.2,24.5,[397.92 398.91 398.07 398.22 398.15 397.92 398.83 398.53]
121.2,25.5,[368.77 368.85 368.62 369.38 369.   368.47 369.38 369.08]
121.2,26.5,[321.62 322.92 322.23 321.85 322.08 322.54 322.   321.7 ]
121.2,27.5,[268.75 268.22 269.44 268.75 267.91 269.51 267.61 269.13]
121.2,28.5,[196.5  197.41 197.03 196.73 196.42 196.65 197.11 196.57]
121.2,29.5,[126.54 126.   126.61 126.76 126.69 126.15 126.69 126.31]
121.2,30.5,[61.61 61.53 60.92 61.07 61.76 61.68 60.92 61.   61.53]
121.2,31.5,[20.26 19.95 20.1  20.1  20.18 20.18 19.8  20.03 19.95]
121.2,32.5,[34.91 34.83 34.98 34.91 35.06 35.36 34.83 34.91 34.98]
121.2,33.5,[101.74 102.04 102.2  101.89 101.82 101.59 101.82 101.43]
121.2,34.5,[214.05 214.66 214.58 214.35 214.43 214.27 214.2  215.19]
121.2,35.5,[328.11 327.95 327.73 328.03 328.26 328.18 327.88 328.03]
121.2,36.5,[427.14 426.76 426.83 426.15 426.53 425.99 426.53 426.45]
121.2,37.5,[499.16 499.08 499.16 498.7  498.63 499.01 498.86 498.63]
121.2,38.5,[546.46 546.08 546.39 547.3  546.31 546.85 547.23 546.23]
121.2,39.5,[561.04 560.35 560.35 559.74 559.97 561.42 561.11 560.04]
121.2,40.5,[550.35 551.12 550.74 550.43 550.2  551.5  551.5  550.35]
121.2,41.5,[522.74 522.28 522.28 522.35 522.13 522.35 521.82 522.89]
121.2,42.5,[472.3  471.39 470.63 470.86 472.08 472.3  471.85 470.47]
121.2,43.5,[395.25 394.94 393.95 395.25 394.03 393.95 394.56 395.25]
121.2,44.5,[308.58 307.89 308.96 307.81 306.59 307.35 307.66 306.9 ]
121.2,45.5,[217.71 216.11 217.25 216.87 217.25 216.95 217.86 216.72]
121.2,46.5,[128.14 127.68 127.99 127.91 127.76 128.06 127.68 127.6 ]
121.2,47.5,[59.47 59.62 59.47 59.7  58.94 59.09 59.09 59.24 59.7 ]
121.2,48.5,[44.44 43.91 44.29 43.91 44.06 44.14 43.83 44.14 43.91]
121.2,49.5,[86.25 85.79 85.49 85.49 85.87 86.48 85.79 85.87 86.1 ]
121.2,50.5,[186.73 186.73 186.66 186.35 186.2  185.97 186.96 186.43]
121.2,51.5,[298.2  297.51 297.74 298.12 297.89 296.52 297.36 297.59]
121.2,52.5,[422.87 422.71 422.1  422.87 422.33 422.79 422.79 423.09]
121.2,53.5,[544.79 544.86 544.79 544.71 544.56 544.86 545.17 544.63]
