Exc-wall dist (cm),Tag-wall dist (cm),Tag Voltage (mV)
237.7,34.5,[29.26 29.18 29.11 29.03 29.26 29.11 29.03 28.88 28.65]
237.7,35.5,[68.93 68.93 68.86 68.47 68.7  68.7  68.4  68.55 69.01]
237.7,36.5,[94.11 93.88 93.73 93.35 93.8  94.11 93.8  93.96 93.96]
237.7,37.5,[128.14 128.67 128.67 128.06 128.29 128.37 127.99 128.75]
237.7,38.5,[164.   163.92 162.7  163.77 162.85 162.85 163.61 162.93]
237.7,39.5,[186.96 186.27 186.58 186.5  186.35 186.12 187.04 186.43]
237.7,40.5,[193.6  193.45 193.37 193.14 194.06 194.13 192.99 193.98]
237.7,41.5,[193.9  194.13 193.68 193.45 193.9  193.6  194.36 194.29]
237.7,42.5,[180.86 180.86 180.7  180.63 181.62 180.25 180.78 180.86]
237.7,43.5,[160.87 160.18 160.64 160.33 160.64 160.79 161.17 160.18]
237.7,44.5,[127.83 128.21 128.14 128.82 128.06 128.06 127.99 128.75]
237.7,45.5,[91.67 92.28 92.36 91.97 92.51 91.59 92.36 91.9  91.97]
237.7,46.5,[57.34 56.8  57.18 56.95 56.19 57.41 56.95 57.03 57.18]
237.7,47.5,[28.57 28.42 28.11 28.42 28.5  28.5  28.42 28.5  28.27]
237.7,48.5,[14.99 14.76 14.99 14.99 14.99 14.84 14.69 15.07 15.07]
237.7,49.5,[22.01 22.24 21.86 21.93 22.24 22.32 22.01 21.86 22.09]
237.7,50.5,[52.15 52.22 52.22 51.92 51.84 52.3  52.68 52.   52.45]
237.7,51.5,[103.65 103.11 103.8  103.27 103.65 103.57 103.57 103.49]
237.7,52.5,[152.93 152.86 153.77 153.16 153.09 152.7  152.86 153.16]
237.7,53.5,[207.1  207.18 207.71 206.42 207.1  206.34 207.41 206.87]
237.7,54.5,[243.65 244.11 244.95 243.19 243.95 243.88 243.88 243.19]
237.7,55.5,[270.12 269.13 269.59 269.89 270.43 269.44 269.89 269.89]
237.7,56.5,[284.16 285.   284.31 283.47 283.47 283.63 284.39 284.39]
237.7,57.5,[286.68 288.05 287.59 287.37 286.76 287.29 287.44 288.13]
237.7,58.5,[277.37 276.23 276.   276.68 275.92 276.   276.23 275.46]
237.7,59.5,[251.28 252.5  252.19 252.5  252.35 251.74 251.96 251.51]
237.7,60.5,[217.02 216.33 217.4  217.4  217.02 217.02 217.17 216.87]
237.7,61.5,[171.7  171.55 171.93 172.39 172.92 172.24 173.3  172.54]
237.7,62.5,[122.49 122.57 122.57 122.34 122.95 121.96 121.73 122.19]
237.7,63.5,[67.86 68.78 69.01 68.78 68.32 68.93 68.17 69.31 68.47]
237.7,64.5,[31.93 31.4  31.62 31.62 31.62 31.7  31.62 31.78 31.32]
237.7,65.5,[13.92 13.85 14.15 14.15 14.15 14.31 14.84 13.85 14.23]
237.7,66.5,[27.73 27.81 28.11 28.19 28.04 27.89 27.66 27.5  27.73]
237.7,67.5,[54.36 54.28 54.74 54.74 54.59 54.59 54.44 54.44 54.59]
237.7,68.5,[114.48 114.86 115.09 115.09 114.86 115.17 115.01 114.94]
237.7,69.5,[177.12 177.2  176.66 176.89 176.36 176.81 177.27 176.97]
237.7,70.5,[223.74 222.67 222.97 223.2  223.51 223.74 223.89 222.9 ]
237.7,71.5,[258.83 257.76 258.6  259.67 259.21 259.29 257.84 258.98]
237.7,72.5,[275.31 275.77 275.69 276.46 275.62 276.07 275.39 275.69]
237.7,73.5,[289.5  289.2  289.5  289.43 290.04 290.11 289.12 289.58]
237.7,74.5,[284.62 284.16 284.62 284.7  285.15 285.   285.84 284.31]
237.7,75.5,[267.83 267.91 268.22 268.52 268.44 267.61 268.6  267.15]
237.7,76.5,[233.88 234.19 234.57 233.88 234.72 233.35 234.11 234.19]
237.7,77.5,[190.78 191.31 192.15 192.38 192.07 192.68 193.29 192.45]
237.7,78.5,[144.92 144.69 143.85 143.55 143.93 143.7  143.85 143.55]
237.7,79.5,[92.28 92.58 92.58 92.36 92.28 92.51 92.43 92.58 92.36]
237.7,80.5,[51.   51.08 51.46 50.62 51.23 51.61 50.62 51.16 50.85]
237.7,81.5,[18.65 18.12 16.98 16.82 16.75 16.82 16.82 17.05 16.9 ]
237.7,82.5,[10.34 10.34 10.41 10.34 10.49 10.64 10.41 10.26 10.34]
237.7,83.5,[34.6  34.98 34.83 34.52 34.6  34.98 34.83 34.6  34.91]
237.7,84.5,[81.9  82.28 81.83 81.9  82.21 82.13 81.9  82.21 82.28]
237.7,85.5,[141.11 141.26 141.03 140.88 141.03 141.49 140.96 141.57]
237.7,86.5,[201.99 202.22 201.84 202.91 202.45 202.3  202.91 202.53]
237.7,87.5,[253.57 254.25 252.19 253.72 254.79 253.03 252.96 254.1 ]
237.7,88.5,[297.67 298.2  297.44 297.44 297.21 297.97 297.97 297.74]
237.7,89.5,[324.14 323.91 324.6  324.06 325.06 323.22 323.83 323.  ]
237.7,90.5,[325.67 326.73 326.43 326.58 326.35 326.89 326.5  328.18]
237.7,91.5,[322.69 322.08 322.23 322.31 321.24 321.55 321.47 321.62]
237.7,92.5,[294.08 295.15 295.   295.3  295.53 295.83 296.14 296.22]
237.7,93.5,[263.71 262.49 262.72 262.95 262.57 262.8  262.72 263.94]
237.7,94.5,[218.93 220.15 219.69 219.69 220.   219.69 220.07 219.01]
237.7,95.5,[165.06 165.9  165.37 165.83 165.45 165.14 165.52 165.9 ]
237.7,96.5,[123.48 122.95 123.94 123.18 123.33 123.18 122.95 123.64]
237.7,97.5,[79.92 80.53 80.38 80.68 80.22 80.45 80.07 80.68 80.45]
237.7,98.5,[57.34 58.25 58.33 57.87 57.87 57.79 58.02 57.95 58.18]
237.7,99.5,[57.41 57.49 57.79 57.56 57.49 57.56 57.34 58.18 57.72]
237.7,100.5,[87.09 87.47 86.86 86.71 87.01 86.63 87.09 87.09 87.4 ]
237.7,101.5,[136.38 136.61 135.77 136.3  135.92 136.07 136.3  135.46]
237.7,102.5,[192.38 192.3  191.77 192.23 192.45 191.62 192.38 192.61]
