Sno,Wall Dist,T2T Dist,T1-E Dist,T2-E Dist
0,19,112.2,111,114.5
1,19,112.2,111,114.5
2,19,112.2,111,114.5
3,19,112.2,111,114.5
4,19,112.2,111,114.5
5,30,112.2,111,114.2
6,30,112.2,111,114.2
7,30,112.2,111,114.2
8,30,112.2,111,114.2
9,30,112.2,111,114.2
10,39,112.2,111.8,113.3
11,39,112.2,111.8,113.3
12,39,112.2,111.8,113.3
13,39,112.2,111.8,113.3
14,39,112.2,111.8,113.3
15,49,112.2,110.5,113
16,49,112.2,110.5,113
17,49,112.2,110.5,113
18,49,112.2,110.5,113
19,49,112.2,110.5,113
20,58,112.2,111,114
21,58,112.2,111,114
22,58,112.2,111,114
23,58,112.2,111,114
24,58,112.2,111,114
25,67,112.2,111,113
26,67,112.2,111,113
27,67,112.2,111,113
28,67,112.2,111,113
29,67,112.2,111,113
30,78,112.2,111,113
31,78,112.2,111,113
32,78,112.2,111,113
33,78,112.2,111,113
34,78,112.2,111,113
35,89,112.2,111,112.4
36,89,112.2,111,112.4
37,89,112.2,111,112.4
38,89,112.2,111,112.4
39,89,112.2,111,112.4
40,98,112.2,110,112
41,98,112.2,110,112
42,98,112.2,110,112
43,98,112.2,110,112
44,98,112.2,110,112
45,109,112.2,111,112
46,109,112.2,111,112
47,109,112.2,111,112
48,109,112.2,111,112
49,109,112.2,111,112
50,120,112.2,110.5,112
51,120,112.2,110.5,112
52,120,112.2,110.5,112
53,120,112.2,110.5,112
54,120,112.2,110.5,112
55,128.5,112.2,111,114
56,128.5,112.2,111,114
57,128.5,112.2,111,114
58,128.5,112.2,111,114
59,128.5,112.2,111,114
60,140,112.2,112,113
61,140,112.2,112,113
62,140,112.2,112,113
63,140,112.2,112,113
64,140,112.2,112,113
65,148.5,112.2,112.5,113
66,148.5,112.2,112.5,113
67,148.5,112.2,112.5,113
68,148.5,112.2,112.5,113
69,148.5,112.2,112.5,113
