,Rx,Tx,MPP Start Time (s),MPP Stop Time (s),Voltages (mV),Frequency (MHz),Run Exp Num,NumMPPs,Laser dist,Tape dist
0,Tag1,Tag2,1757534734.1341667,1757534735.4410973,"[ 95.94  96.63  96.32  96.25  96.78  96.32  96.4   96.7   96.63  96.78
 102.43 102.12 102.73 102.5  102.5  102.66 102.88 102.5  102.43 102.58
 104.72 104.94 105.25 105.02 104.94 105.17 104.87 104.79 105.1  105.1
  90.14  90.22  89.99  90.14  89.99  90.14  90.22  89.84  90.3   90.45
  90.6   90.37  90.14  90.98  90.37  90.07  90.37  90.3   90.52  93.42
  93.42  93.27  93.5   93.8   93.88  93.8   93.88  93.5   93.8   96.78
  96.17  96.7   96.55  96.78  96.32  96.4   96.48  96.63  96.25 102.66
 102.81 102.73 102.27 102.5  102.88 102.43 102.43 102.5  102.73 105.02
 104.87 105.25 105.25 105.33 105.25 105.17 104.79 105.02  90.37  89.91
  89.68  90.07  89.99  90.45  90.3   90.22  89.99  90.6   90.98  90.14
  90.68  90.45  90.6   90.14  90.68  90.45  90.52  90.07  93.65  93.8
  93.96  93.96  94.03  93.35  93.8   93.73  93.58  93.19  96.63  96.32
  96.09  96.55  96.48  96.4   96.78  96.32  96.32  96.09 102.81 102.43
 102.5  102.66 102.96 102.43 102.27 102.66 102.66 102.27 104.79 104.94
 105.17 104.87 105.17 104.87 105.02 104.87 104.87  89.76  89.91  89.91
  90.07  90.07  90.07  89.68  90.14  90.3   90.07  90.3   90.6   90.6
  90.3   90.45  90.6   90.83  89.99  90.45  90.52  93.27  93.5   93.65
  93.73  93.27  93.35  93.88  93.58  93.73  93.8   96.25  96.32  96.48
  96.48  96.32  96.32  96.25  96.32  96.09  96.4  102.43 102.12 102.43
 102.43 102.12 102.35 102.88 102.12 102.12 104.64 105.17 104.94 105.1
 104.94 104.94 105.02 104.64 105.02 104.87  89.68  90.22  89.91  90.14
  90.22  90.07  90.22  89.84  90.14  90.14  90.3   90.68  90.14  90.52
  90.14  90.45  90.37  90.3   90.3   90.52  93.65  93.65  93.58  93.35
  93.58  93.19  93.58  93.27  93.35  93.58  96.4   96.4   96.4   96.32
  96.32  96.25  96.48  96.55  96.63  96.09 102.66 102.58 102.2  102.27
 102.5  102.5  102.73 102.5  102.43 104.79 104.94 104.87 105.02 104.64
 105.1  105.17 104.56 105.02 104.72  90.07  89.84  89.91  90.14  90.22
  89.84  90.14  90.14  90.37  90.07  90.52  90.45  90.52  89.99  90.52
  90.3   90.37  90.52  90.22  90.14  93.73  93.73  93.42  93.27  93.58
  93.42  93.19  93.96  93.96  93.88  93.58  93.65  93.58  93.35]",915,0,5,0.3,0.3
1,Tag2,Tag1,1757534740.4420714,1757534741.7420802,"[80.45 71.91 72.67 72.44 72.82 72.37 72.14 72.37 72.29 72.67 77.33 77.48
 77.25 77.4  77.33 77.25 77.55 77.63 77.63 77.48 75.49 75.57 75.88 75.88
 75.8  75.42 76.03 75.72 75.8  75.65 88.54 88.85 88.69 88.31 88.77 88.46
 88.39 89.   89.07 88.92 91.97 92.2  91.74 91.67 92.2  91.52 92.28 91.74
 92.13 92.05 88.62 88.39 88.69 88.39 88.39 88.31 87.93 88.54 88.69 72.67
 71.91 72.52 72.37 72.59 72.75 72.75 72.67 71.91 72.44 77.17 77.25 77.48
 77.25 76.94 77.48 76.94 77.1  77.1  77.4  75.72 75.34 75.57 75.27 75.72
 75.57 76.03 75.57 75.11 75.49 88.16 88.85 89.23 89.   88.62 88.46 88.85
 88.85 88.92 89.15 92.36 92.05 91.97 91.67 92.2  91.9  92.28 92.05 92.36
 88.16 88.46 88.77 88.85 88.24 88.46 88.39 88.31 88.85 88.62 72.59 72.59
 72.29 72.9  72.59 72.59 72.44 72.37 72.29 72.21 77.48 77.55 77.1  77.02
 77.4  77.4  77.48 77.63 77.25 77.33 75.72 75.57 76.03 75.42 75.72 75.88
 75.88 75.95 75.88 75.72 88.24 88.46 88.85 89.23 88.77 89.   88.62 88.77
 88.92 89.   91.59 92.36 92.43 92.13 91.74 91.9  91.9  91.97 92.2  88.16
 88.54 89.   88.31 88.01 88.24 87.85 88.31 88.31 88.92 72.44 72.67 72.06
 72.9  72.75 72.67 72.21 72.37 72.59 72.59 77.33 77.55 77.1  77.17 77.25
 77.55 77.71 77.4  77.48 77.48 75.65 75.95 75.27 75.8  76.1  75.65 75.72
 75.57 75.19 75.65 88.39 88.85 88.31 89.3  89.07 88.46 88.46 88.85 88.31
 88.24 91.82 92.13 92.2  91.74 91.9  92.28 91.74 91.67 92.36 88.77 88.62
 88.62 88.62 88.62 88.85 88.08 88.08 88.46 88.54 72.67 72.21 72.21 72.06
 72.52 72.67 72.44 72.59 72.21 72.59 77.86 77.71 76.94 77.25 77.78 77.4
 77.1  77.25 77.1  77.63 75.88 75.49 76.03 75.34 75.11 75.49 75.49 75.57
 76.1  75.57 89.15 88.77 88.77 89.   89.07 88.69 89.53 89.3  88.77 91.97
 91.82 92.2  92.13 91.82 91.59 91.82 91.59 92.51 92.28 89.15 87.93 88.69
 88.31 88.31 88.92 89.07 88.69 88.85 88.92 88.46 88.69 88.54 88.77]",915,0,5,0.3,0.3
2,Tag1,Tag2,1757534890.7969313,1757534892.101463,"[106.93 108.61 108.38 108.07 108.07 108.38 108.3  108.38 108.15 108.53
 114.4  115.01 114.71 115.01 115.01 115.01 114.86 115.09 114.86 114.94
 115.85 115.85 116.08 116.24 116.16 116.31 116.08 116.01 115.78 116.24
 100.98 101.28 101.05 100.21 101.28 100.9  100.52 100.9  100.82 101.05
 101.28 101.74 101.59 101.28 101.74 101.66 101.51 101.28 101.97 105.4
 105.55 105.55 105.55 105.25 105.4  105.1  105.63 105.33 105.17 108.
 108.53 108.3  108.45 108.68 108.   108.53 108.3  108.76 108.53 114.79
 114.71 115.32 115.09 114.71 114.94 114.48 114.94 114.71 115.24 115.78
 115.78 115.85 115.85 116.16 115.85 115.63 116.31 115.78 116.16 100.82
 101.05 100.67 100.75 100.67 100.82 100.6  100.52 100.9  100.75 101.43
 101.43 101.59 101.36 101.43 101.59 101.51 101.89 101.74 105.55 105.71
 105.4  105.55 105.33 104.87 105.25 105.48 104.94 105.4  108.76 108.61
 108.3  108.38 108.3  108.22 108.   108.61 108.45 108.3  114.94 114.63
 114.71 114.94 114.86 114.71 114.86 114.86 115.01 114.63 115.85 115.55
 115.85 115.7  116.01 116.16 115.63 116.16 115.7  115.85 100.75 100.67
 101.05 100.52 100.75 100.6  100.52 100.9  100.82 100.9  101.43 101.89
 101.66 101.21 101.51 101.36 101.36 101.51 101.89 105.25 105.33 104.94
 105.78 105.17 105.4  105.55 105.63 105.25 105.33 108.15 108.38 107.92
 108.   108.38 107.92 108.07 108.3  108.07 108.22 114.63 114.63 114.71
 114.71 114.86 114.79 114.63 114.56 115.01 114.94 115.55 115.63 115.93
 115.85 115.85 115.85 115.63 116.08 115.85 116.16 100.82 100.82 100.67
 100.67 100.67 100.82 101.13 100.9  100.52 101.59 101.59 101.89 101.66
 101.51 101.13 101.51 101.36 101.21 101.51 105.1  105.4  105.33 104.87
 104.94 105.4  105.25 105.33 104.94 104.94 108.45 108.61 108.61 108.38
 107.84 108.38 107.84 108.61 108.68 108.22 114.56 114.86 114.86 115.17
 114.94 114.63 114.71 114.71 114.79 114.56 115.78 115.93 115.85 115.55
 116.01 115.85 115.63 115.93 115.78 115.7  100.52 100.9  100.67 100.98
 100.98 100.98 100.67 100.98 101.05 101.59 101.59 101.59 101.66 101.43
 101.66 101.21 101.36 101.43 101.51 104.87 105.02 105.1  105.33 105.17
 105.02 104.79 105.33 105.25 105.55 105.17 105.33 105.02 104.94]",915,1,5,0.32,0.32
3,Tag2,Tag1,1757534893.3450115,1757534894.6428921,"[87.78 74.2  74.58 74.04 74.73 74.2  74.35 74.2  74.12 74.5  76.03 75.27
 75.34 75.95 75.42 75.34 75.19 76.26 75.57 75.27 86.33 86.79 85.95 87.78
 86.56 87.01 87.32 87.01 87.32 87.17 95.71 95.79 96.02 96.48 96.17 96.17
 96.78 95.94 96.48 92.81 93.27 92.58 92.97 93.42 92.74 93.19 92.66 92.58
 92.97 85.34 85.56 85.11 84.19 84.12 84.8  84.73 84.57 84.65 84.57 74.04
 74.58 74.65 74.43 74.12 74.5  75.04 74.12 75.04 74.43 75.42 75.34 75.34
 75.04 75.49 75.65 75.19 74.88 75.04 74.73 86.18 87.17 87.62 86.86 87.24
 86.94 87.01 86.4  87.01 86.56 96.7  95.41 96.86 96.09 96.02 95.56 95.56
 95.79 96.02 93.04 92.66 93.19 93.19 93.35 92.97 93.65 92.89 93.19 93.04
 84.57 84.42 84.65 84.8  84.95 84.19 84.42 84.12 84.57 84.5  74.43 75.49
 74.65 75.49 74.88 74.73 74.81 74.2  74.35 75.34 75.57 75.49 75.88 75.11
 75.04 75.57 75.27 75.49 74.96 75.49 87.4  87.32 86.63 86.94 86.86 86.71
 86.71 86.94 86.48 95.86 96.09 96.17 95.94 95.94 96.48 96.48 96.48 96.17
 96.63 92.74 92.97 92.97 93.27 92.66 92.13 92.66 92.28 92.51 92.81 84.5
 84.65 83.89 85.11 84.88 84.8  84.73 84.5  84.8  84.04 74.43 74.58 74.81
 74.73 75.04 74.43 74.65 74.96 75.49 74.27 75.34 75.04 75.57 74.65 75.11
 75.04 75.11 75.57 75.57 75.11 86.25 86.33 86.1  86.18 86.56 86.18 85.95
 86.33 86.94 96.63 96.63 96.32 96.4  95.94 96.02 96.02 96.32 96.25 96.63
 92.2  92.51 92.2  92.43 92.51 92.2  92.58 92.43 92.97 93.04 84.8  84.88
 84.88 85.11 84.42 84.5  84.19 84.57 84.73 85.26 75.11 74.73 74.43 74.5
 74.27 74.65 74.73 74.88 74.81 74.43 75.65 75.04 74.96 75.8  75.04 75.27
 75.34 74.88 75.49 74.96 86.4  86.4  86.79 86.63 87.24 86.48 86.4  86.86
 86.48 96.09 96.02 95.79 95.94 95.94 96.17 96.17 95.94 96.02 96.02 92.43
 93.04 93.12 92.66 92.74 92.89 92.51 92.81 92.74 92.58 84.95 84.57 84.57
 84.34 84.42 85.95 86.1  85.26 84.5  85.95 84.73 85.49 84.8 ]",915,1,5,0.32,0.32
4,Tag1,Tag2,1757534963.3101625,1757534964.614207,"[123.03 125.24 125.47 125.31 125.24 125.47 125.31 125.39 125.54 125.7
 125.62 132.94 132.87 133.25 133.17 133.48 133.63 133.17 133.4  132.87
 133.4  131.42 131.19 131.65 131.49 131.49 131.57 131.27 131.27 131.49
 114.79 114.63 114.33 114.94 114.48 114.56 114.71 114.71 114.79 114.63
 116.01 116.01 115.93 116.54 116.16 116.16 116.24 116.39 116.31 116.39
 121.88 121.73 121.5  121.19 121.42 121.81 121.42 121.65 121.42 121.73
 126.08 125.77 125.39 125.62 125.31 125.47 125.39 125.39 125.54 125.93
 132.94 133.02 133.4  133.4  133.1  133.1  132.87 133.33 133.17 133.48
 131.42 131.27 131.11 131.11 131.49 131.49 131.65 131.49 131.49 114.94
 114.94 114.63 114.63 114.79 114.56 114.71 114.86 115.17 115.17 116.62
 116.31 116.16 116.16 116.08 116.54 116.46 116.16 116.16 116.08 121.81
 121.27 121.73 121.96 121.5  121.04 121.58 121.5  121.42 121.73 125.24
 125.47 125.24 125.54 125.47 125.39 125.85 125.54 125.93 125.01 132.87
 133.4  132.94 133.17 133.17 133.17 133.17 133.33 133.4  128.14 131.34
 131.57 131.57 131.42 131.04 131.34 131.49 131.19 131.34 114.79 114.4
 114.86 114.86 114.63 114.56 114.63 114.71 114.71 114.71 116.31 116.16
 116.16 115.85 116.08 116.39 116.54 116.39 116.31 116.08 121.96 121.19
 121.04 121.5  121.35 121.58 121.88 121.65 121.12 121.65 125.7  125.47
 125.47 125.47 125.47 125.39 125.77 125.24 125.62 125.54 133.1  132.72
 133.4  132.72 133.78 133.25 133.02 133.4  132.94 130.88 131.42 131.19
 131.42 130.96 131.34 131.42 131.27 131.27 131.11 114.48 115.01 115.01
 114.86 114.79 114.79 114.63 114.56 114.86 114.71 116.08 116.24 116.54
 116.08 116.54 116.24 116.01 116.16 115.93 116.54 121.73 121.88 121.81
 121.27 121.73 121.73 121.58 121.58 121.58 121.88 125.47 125.47 125.47
 125.09 125.54 125.77 125.39 125.7  125.62 125.31 133.02 133.25 133.1
 133.1  133.02 133.25 133.17 133.25 132.87 131.42 131.49 131.57 131.27
 131.27 131.57 131.42 131.11 131.11 131.49 114.86 115.09 114.4  114.94
 114.63 114.63 114.63 114.56 114.71 114.86 116.16 116.08 116.46 116.16
 116.31 116.16 116.31 116.39 116.54 116.39 121.96 121.27 121.88 122.03
 121.65 121.35 121.58 121.42 121.65 121.5  121.5  121.19 121.42]",915,2,5,0.34,0.34
5,Tag2,Tag1,1757534965.8512163,1757534967.1604714,"[109.22  95.64  96.09  96.32  95.48  96.09  96.25  96.25  95.71  95.64
  91.36  91.74  91.97  91.52  92.13  90.91  91.52  91.44  91.13  91.82
 113.87 113.79 114.02 114.02 113.87 113.18 113.64 113.57 112.57 113.72
 114.4  115.32 115.4  114.94 114.71 115.24 114.56 114.25 113.79 114.18
 105.33 105.17 105.1  104.94 105.17 105.4  104.79 104.49 104.72 105.17
  95.56  95.64  95.33  95.18  95.1   95.56  95.18  95.64  95.86  96.7
  96.4   95.64  95.94  95.71  95.79  96.17  96.09  95.48  95.48  90.98
  91.29  91.59  90.98  91.44  91.06  91.06  91.36  91.52  92.05 114.4
 113.79 113.72 113.87 114.02 114.33 113.87 114.48 113.57 113.57 115.09
 114.86 115.01 115.17 115.01 115.55 114.79 114.94 114.79 114.4  105.63
 105.33 105.33 105.17 104.94 105.86 105.25 105.63 105.1  105.17  95.18
  95.64  94.72  95.56  95.41  95.41  95.86  95.33  96.09  96.09  95.94
  96.09  95.86  96.63  96.02  96.17  96.48  95.94  95.48  91.44  91.06
  90.6   91.13  90.68  91.52  91.21  91.13  91.52  91.74 113.26 114.02
 113.34 113.49 113.57 113.57 113.79 114.4  114.33 113.57 115.55 115.17
 115.47 115.01 114.86 114.18 114.79 114.63 114.71 114.48 105.17 105.25
 105.4  105.48 105.48 105.1  104.87 105.78 105.63  95.79  95.79  95.03
  95.18  95.18  95.25  95.25  94.8   94.72  95.56  95.94  95.71  95.79
  95.71  96.32  96.25  96.25  96.09  95.71  95.64  91.59  91.06  91.21
  91.29  91.52  91.82  91.67  91.67  91.9   91.9  113.87 113.87 113.57
 113.72 113.11 113.41 113.79 113.72 113.79 113.64 114.79 114.86 114.18
 114.25 115.24 114.48 115.01 114.4  114.71 114.71 104.94 105.17 105.1
 105.25 104.87 104.94 105.48 104.56 104.94  95.03  94.72  95.33  95.41
  96.17  95.41  95.25  94.95  95.03  95.48  95.33  95.25  95.71  95.79
  96.09  95.86  94.95  95.1   95.41  96.48  90.98  91.29  91.29  91.29
  90.91  91.44  91.74  91.97  92.2   92.2  113.72 113.49 113.87 114.02
 113.18 114.02 114.18 113.87 113.11 113.49 114.4  114.71 114.18 114.71
 114.56 114.33 114.71 115.01 114.79 115.24 106.62 106.93 106.01 105.33
 105.33 105.94 106.01 105.48 105.63  95.86  95.41  95.79  95.64  95.79
  95.56  95.03  95.94  95.64  96.09  96.7   95.86  95.86  96.02]",915,2,5,0.34,0.34
6,Tag1,Tag2,1757535013.399536,1757535014.700828,"[140.5  145.91 145.76 145.53 145.99 145.91 146.14 145.69 145.61 145.69
 154.61 154.31 154.23 154.54 154.38 154.61 154.08 154.38 154.46 154.08
 147.44 147.29 147.36 147.97 147.36 147.29 147.44 147.97 147.9  147.36
 130.81 131.11 130.66 130.96 130.81 130.35 130.58 131.27 130.58 131.04
 133.78 133.71 133.55 133.63 133.78 133.94 133.94 133.86 133.86 133.48
 141.41 141.34 141.26 141.79 141.41 141.57 141.34 141.11 141.18 145.76
 146.22 146.07 146.14 146.52 145.84 146.07 146.45 146.52 145.69 154.38
 154.38 154.31 154.23 154.54 154.38 154.61 153.77 154.61 154.15 147.52
 147.82 147.67 147.82 147.29 147.29 147.44 147.52 147.44 147.52 131.27
 131.19 130.88 130.96 130.5  131.11 130.81 130.81 130.96 130.73 134.01
 134.16 133.94 134.09 134.39 134.55 134.24 134.24 134.09 141.79 140.96
 141.41 141.41 141.34 141.26 141.41 141.49 141.34 141.18 146.22 146.22
 145.76 145.76 146.3  146.6  146.07 146.3  146.22 145.91 154.31 154.54
 154.54 154.38 154.76 154.23 154.84 154.54 154.54 154.61 147.97 147.67
 147.52 147.82 148.05 147.67 147.67 147.75 147.59 147.36 131.11 130.96
 131.04 131.19 131.42 131.19 131.04 131.04 131.19 130.88 134.32 133.86
 134.16 133.78 134.09 133.86 133.78 134.39 134.01 141.34 141.18 141.18
 141.18 141.41 141.64 141.41 141.49 141.34 141.64 146.22 146.07 145.84
 146.37 146.45 146.37 146.22 146.22 146.07 145.99 154.99 154.92 154.31
 153.93 154.76 154.46 154.31 154.38 154.84 154.99 147.75 147.9  147.97
 147.82 148.05 148.05 148.13 147.82 147.75 147.97 131.57 131.27 130.73
 131.42 131.19 131.11 130.96 131.11 130.88 135.   133.94 134.01 133.94
 134.24 134.09 134.24 133.94 133.94 134.16 141.34 141.26 141.49 141.49
 140.8  141.34 141.41 141.41 141.87 141.26 146.22 146.52 145.84 146.14
 146.68 145.99 146.52 146.14 146.3  146.45 154.46 154.15 154.38 154.54
 154.54 154.92 154.38 154.54 154.84 154.76 147.82 147.82 147.67 148.05
 147.82 147.82 147.9  147.75 147.52 147.67 131.11 130.96 130.88 131.49
 131.19 131.11 131.19 131.42 130.73 134.24 134.16 134.16 133.48 134.01
 133.71 134.01 133.55 133.86 134.09 141.49 141.03 141.26 141.64 141.26
 141.26 141.26 141.64 141.34 141.03 141.57 141.41 141.57 141.57]",915,3,5,0.36,0.36
7,Tag2,Tag1,1757535015.94459,1757535017.244137,"[123.18 116.54 115.17 115.85 117.   115.78 117.15 115.85 115.24 116.24
 106.09 106.7  106.24 107.16 106.85 106.62 105.94 106.93 107.16 106.93
 133.94 133.55 133.55 133.4  133.1  132.33 133.1  133.4  132.64 133.55
 122.87 123.56 122.57 123.41 122.72 123.25 123.1  122.72 122.87 109.37
 109.98 109.83 109.98 109.9  109.9  109.6  109.9  110.13 110.44 101.66
 102.5  102.27 101.89 101.74 102.43 101.74 102.2  101.66 101.97 116.08
 116.54 115.7  115.55 115.78 116.08 115.55 116.62 115.47 115.78 107.46
 106.55 107.16 106.7  107.16 106.01 106.85 106.62 106.85 106.32 132.41
 132.79 133.25 133.25 133.25 133.02 132.79 132.87 133.63 122.64 122.72
 123.18 123.71 123.18 123.1  123.03 122.72 122.87 123.79 110.06 109.83
 109.67 110.44 109.6  109.75 111.12 109.98 109.83 110.28 102.12 101.74
 102.2  102.04 101.74 102.43 102.2  102.35 102.35 102.5  115.85 116.08
 115.24 115.78 115.93 115.85 115.47 115.93 116.01 115.78 106.62 105.78
 106.39 106.47 106.85 106.16 106.55 106.16 106.24 106.39 132.72 133.25
 133.1  133.25 132.49 133.71 132.18 133.71 133.71 123.25 123.1  123.79
 123.79 122.57 123.1  122.95 122.87 123.33 122.87 110.36 110.44 109.9
 109.83 110.13 110.36 109.6  109.83 109.9  110.13 101.82 102.96 102.35
 102.12 102.81 102.12 102.66 101.82 102.96 102.12 116.62 116.62 116.16
 117.23 116.39 116.77 116.39 116.46 115.63 116.39 105.86 106.47 106.85
 106.47 106.55 106.09 107.08 106.55 106.7  106.55 133.17 133.17 133.02
 132.72 133.33 132.79 132.49 133.25 133.17 123.03 123.25 122.95 122.95
 122.8  122.95 122.8  122.72 122.57 122.8  109.52 110.44 109.83 110.28
 110.13 110.13 109.9  110.28 110.51 109.75 102.73 101.97 102.2  101.97
 102.5  102.12 101.89 102.35 102.58 102.73 116.31 116.39 116.31 116.08
 116.24 116.24 116.46 115.85 116.01 115.85 106.39 106.24 106.62 106.32
 106.47 105.55 106.32 106.24 106.78 132.94 132.64 132.64 132.79 132.64
 132.79 132.79 132.56 132.72 133.33 122.95 122.72 123.03 123.41 122.87
 123.41 122.72 123.03 123.87 122.87 110.06 109.75 109.6  109.98 109.83
 109.83 109.29 110.13 109.98 109.52 101.97 102.04 102.04 101.66 101.89
 102.12 102.35 102.43 102.12 101.66 102.04 102.27 101.74]",915,3,5,0.36,0.36
8,Tag1,Tag2,1757535069.7788863,1757535071.0865753,"[154.31 163.08 163.69 163.46 163.46 163.31 163.16 162.93 163.69 163.61
 163.39 170.63 170.41 170.25 170.63 170.86 170.63 170.48 170.1  170.48
 170.18 158.81 159.11 158.96 158.88 158.43 158.73 158.66 158.96 159.19
 145.76 145.76 145.76 145.76 145.84 145.99 146.07 145.99 146.14 145.84
 150.11 149.81 149.88 149.96 149.5  149.73 149.96 149.96 150.26 150.49
 158.58 158.66 158.73 157.89 158.66 158.58 158.66 158.43 158.27 158.58
 162.85 163.16 163.   162.93 163.77 163.31 163.16 163.54 163.77 162.85
 170.79 170.71 170.63 170.71 170.79 170.86 170.48 170.63 170.79 158.88
 159.11 158.73 158.73 159.11 159.49 158.66 159.19 159.19 158.88 145.69
 145.69 146.07 145.69 146.22 145.76 145.53 146.07 145.69 146.07 150.19
 149.65 150.49 149.73 149.88 149.73 149.35 150.19 149.96 150.11 158.58
 158.27 158.2  158.58 158.58 158.12 158.27 158.43 158.12 158.43 163.54
 163.46 163.16 163.39 163.54 163.46 163.77 163.08 164.   163.54 170.71
 171.02 170.48 170.71 170.63 170.02 170.25 170.48 169.95 158.73 158.66
 158.66 158.73 158.88 158.81 158.81 158.81 159.34 159.11 146.14 146.3
 145.84 145.84 146.52 145.99 145.84 145.91 145.99 146.37 149.96 150.11
 150.42 150.03 150.19 149.73 149.5  150.11 150.03 149.96 158.5  158.81
 158.58 158.2  158.27 158.35 158.96 158.5  158.66 158.58 163.23 163.61
 163.08 163.69 163.31 163.16 162.93 163.31 162.78 163.46 170.18 170.48
 170.41 170.86 170.71 170.63 170.86 170.33 171.02 158.66 159.34 158.43
 158.5  158.96 159.11 158.96 158.88 159.04 159.11 146.14 146.07 145.84
 146.52 145.76 146.22 145.91 145.99 146.14 146.52 149.73 149.42 149.73
 149.58 149.65 150.57 150.26 150.03 150.26 150.19 158.5  158.58 158.58
 158.43 158.66 158.43 158.43 158.5  158.96 158.73 163.16 163.16 163.46
 163.16 163.39 163.31 163.54 163.61 162.93 170.18 170.41 170.79 170.41
 170.94 170.1  170.71 170.56 170.94 170.56 158.96 159.11 159.34 158.81
 159.04 158.73 158.43 158.66 158.96 158.73 146.07 146.07 145.76 145.76
 146.3  146.3  145.84 146.14 145.84 146.07 149.88 149.65 150.26 150.34
 149.81 150.26 149.58 149.5  150.26 149.96 158.66 158.43 158.81 158.43
 157.97 159.04 158.43 158.12 158.43 158.66 158.66 158.81 158.43]",915,4,5,0.38,0.38
9,Tag2,Tag1,1757535072.3259256,1757535073.6226213,"[121.27 121.96 122.42 122.11 122.64 122.11 122.49 121.96 122.87 122.8
 112.12 111.66 112.04 111.28 111.51 111.28 111.35 111.66 111.2  110.74
 133.25 132.56 132.87 133.4  132.79 132.79 132.72 133.25 132.49 133.25
 114.71 114.94 115.01 115.63 115.47 115.55 115.09 115.17 115.24 114.63
 103.04 102.81 103.11 103.11 102.35 103.27 102.5  102.73 102.96 103.57
  99.83  99.6  100.44 100.21  99.91 100.29 100.21  99.22 100.29  99.45
 122.19 123.1  121.88 122.72 122.26 122.11 122.72 121.58 121.96 111.51
 111.81 111.35 111.51 111.35 111.35 111.43 110.97 112.27 111.66 132.64
 133.25 133.33 132.94 132.64 132.33 132.79 133.02 132.72 132.87 115.24
 116.01 116.01 115.47 115.01 115.09 115.01 115.47 116.24 115.47 102.96
 103.49 103.27 104.1  102.58 103.19 103.11 103.04 102.73 103.04  99.6
 100.29  99.53  99.45  99.53  99.91 100.29  99.98  99.76 121.5  122.03
 121.73 122.72 122.03 122.72 122.11 122.64 122.42 122.95 111.89 111.05
 111.51 111.43 111.35 111.58 111.96 111.2  111.35 111.43 133.17 132.72
 132.94 133.33 132.64 132.94 132.64 132.87 132.79 132.49 115.24 115.32
 115.55 115.47 115.17 115.24 115.47 115.93 115.01 115.24 103.34 103.34
 103.65 103.19 103.04 102.96 103.49 103.11 103.42 103.27 100.52 100.06
 100.29  99.45 100.52 100.6  100.06  99.45 100.06 122.42 122.87 122.19
 123.25 122.64 122.49 122.49 122.42 122.03 122.11 111.51 112.34 111.66
 111.28 111.51 111.96 111.35 111.43 110.89 111.2  131.95 132.18 132.41
 132.79 132.79 131.95 132.56 132.41 132.56 132.72 116.16 115.4  115.85
 115.55 115.55 115.63 115.55 115.55 115.4  115.01 103.27 103.34 102.73
 103.49 102.66 103.27 102.73 103.11 103.57 103.42 100.06 100.06  99.68
  99.98 100.14 100.67  99.91 100.98  99.6  122.34 122.42 122.03 122.03
 122.11 122.03 122.19 122.34 122.42 122.26 111.05 111.66 111.51 110.74
 111.51 111.05 111.28 111.05 111.2  111.05 132.49 132.72 132.64 132.41
 132.56 132.49 132.72 133.02 133.25 133.4  115.32 115.55 114.94 115.55
 115.17 115.47 116.01 115.85 114.94 115.17 103.49 103.27 102.12 103.49
 102.58 102.81 103.04 103.11 102.96  99.91  99.98 100.6  100.29 100.21
 100.82 100.75 100.14  99.98  99.76  99.37  99.98  99.98 100.37]",915,4,5,0.38,0.38
