,Rx,Tx,MPP Start Time (s),MPP Stop Time (s),Voltages (mV),Frequency (MHz),Run Exp Num,NumMPPs
0,2,1,1763491533.3821151,1763491534.6866872,"[18.04 45.66 45.28 45.28 45.2  45.13 45.05 45.66 45.43 46.35 45.66 46.12
 46.35 46.04 46.27 45.13 44.82 44.67 45.82 45.74 46.04 46.2  46.04 45.82
 45.36 45.66 45.97 46.2  46.04 45.66 44.44 42.92 43.91 43.83 43.53 44.9
 43.53 43.83 43.91 44.67 41.39 41.92 41.92 41.7  42.   41.85 41.54 41.31
 41.24 44.75 45.13 44.67 43.91 44.59 44.06 44.82 44.21 44.37 44.21 46.04
 45.97 45.82 45.97 45.51 45.89 45.36 46.04 45.97 45.97 45.43 45.82 45.13
 45.13 44.98 45.36 45.28 45.74 44.98 45.51 45.13 45.13 45.2  44.44 45.13
 44.44 44.29 44.52 44.9  44.29 43.14 42.46 43.07 42.15 43.14 42.69 43.14
 43.83 43.37 43.76 40.63 41.16 40.55 40.63 41.01 40.78 42.08 42.53 41.39
 44.37 44.52 44.9  43.91 44.06 43.91 44.29 44.52 44.21 44.75 46.12 46.73
 46.65 45.74 47.72 46.35 46.27 45.74 45.74 46.81 46.65 46.12 45.59 45.89
 45.43 45.43 46.2  45.82 45.43 46.12 45.13 44.59 45.59 46.12 46.27 45.97
 45.89 45.43 45.05 45.89 43.83 45.74 44.21 43.45 44.21 44.98 44.37 44.52
 43.6  40.63 41.85 42.15 42.69 41.39 40.86 40.86 40.4  40.47 40.7  44.67
 44.21 44.14 43.76 43.98 43.68 43.98 44.98 44.44 45.05 47.34 45.66 46.81
 46.43 46.04 46.88 46.04 46.43 46.12 46.73 46.81 46.35 47.04 45.59 47.42
 46.58 45.74 46.81 45.97 44.75 46.04 45.59 45.59 45.51 45.59 45.59 45.89
 46.04 46.27 45.66 43.6  44.21 44.21 43.76 44.98 43.6  44.52 44.52 43.91
 41.08 41.47 41.31 40.55 41.01 40.47 40.86 40.93 40.55 40.17 43.76 44.75
 43.6  43.91 43.76 43.83 43.83 43.83 44.14 44.44 45.2  45.51 45.13 45.2
 45.43 45.59 45.05 45.59 45.36 46.12 46.12 45.36 44.75 45.36 45.43 45.05
 44.52 44.82 45.2  46.12 44.52 44.9  44.98 44.67 44.9  44.37 45.59 45.59
 44.98 44.82 43.98 43.91 42.92 43.07 43.91 46.96 43.98 42.76 42.92 40.86
 40.63 40.25 40.4  40.32 40.55 40.7  40.4  40.7  41.47 44.67 45.05 45.13
 44.37 45.43 43.91 43.76 43.91 44.14 44.06 43.6  45.74 45.28 45.89]",775,1,5
1,3,1,1763491533.3821151,1763491534.6866872,"[76.1   9.96 10.34 10.41 10.11 10.49 11.1  10.49  9.35 10.64 10.95 10.49
 10.8  11.02 11.02  9.8  11.48 11.86 11.41 11.79 10.64 11.86 11.25 10.03
 10.34 10.26  9.58 10.11  9.96  9.88 10.34  9.96 10.11 10.26  9.73 11.1
 11.86 11.25 12.09 11.41 11.41 11.33 11.1  11.33 11.25 11.41 11.33 11.41
 11.25 10.72 10.34 10.72 11.25 11.1   9.19  8.74  9.12 10.49  8.89 10.57
 11.86 11.56 11.33 11.79 10.64 10.34 10.26 10.11 10.11 10.26 10.26 10.11
 10.34 10.87 10.57 10.41 10.57 10.26 10.26  9.88  9.73 10.03  9.88 10.41
 10.03  9.88  9.73 10.03 10.49 10.26 10.49  9.35 10.64  9.8   9.65  9.42
 10.41 11.02 10.26 10.34 10.19 10.57 10.34 10.19 10.95 11.33 11.02 11.56
 10.87 10.34 10.19  9.73 11.33  9.88 10.87 10.8  10.49 10.41 10.64 10.41
 11.41 11.41 10.72 10.8  10.72 10.57 10.72 10.95 11.25 10.95 11.41 11.56
 10.72 10.03  9.88  9.88 10.11 10.26 10.03  9.8  10.8   9.96 10.03 11.1
 11.02 10.11 10.95 11.18 11.33 11.64 10.57 11.64 11.33 11.1  11.33 11.48
  9.88 11.02 11.1  11.25 11.18 10.95 10.49 10.49 11.33 10.64 10.49 10.8
  9.04 10.34  9.88 10.26  9.27 10.87 10.8   9.88 10.64 10.95  9.58 10.72
 10.72 10.57 10.95 11.02 10.57 10.57 11.56 10.8  11.41  9.96  9.73 10.11
  9.5   9.5   9.8   9.65  9.8  10.03  9.73  9.8   9.73 10.64 11.56 11.71
 10.8  10.72 10.95 11.02 11.41 10.87 11.1   9.88 10.19 11.56 11.02 11.79
 11.02 10.95 11.02 11.56 11.33 11.64  9.96 10.87 10.49  9.19  8.74  8.74
  8.74  9.35  8.74  8.89  8.81  8.81  9.58  9.58  9.96 10.57  9.88 10.03
  9.65 10.57 10.03 10.72  9.8   9.5   9.65 10.03 10.41  9.73  9.58  9.42
  9.73  9.96  9.88  9.8  10.95 10.41 10.57 10.34 10.34 10.41 10.64 10.57
 10.8  10.49 10.8  10.41 10.11 10.26 11.71 10.87 10.64 10.41  9.73 10.03
 10.72  9.96 10.34 10.03 10.34 10.11 10.57  9.88 11.1  10.34 10.41 10.19
 10.11 10.26  9.04 10.41 10.64  9.27  8.74  8.74 10.03 11.64 10.87]",775,1,5
2,4,1,1763491533.3821151,1763491534.6866872,"[146.98  20.26  19.34  19.49  19.8   21.1   20.26  21.1   22.24  19.11
  21.48  21.86  23.61  22.47  20.79  23.    20.94  21.93  20.49  22.7
  21.86  20.26  21.71  23.92  19.87  21.86  21.1   19.42  21.32  20.64
  19.8   22.55  20.64  21.1   21.86  23.08  21.55  24.22  21.93  21.86
  21.93  22.7   22.7   21.4   21.4   22.01  22.24  22.39  21.86  21.48
  21.02  20.26  20.64  21.55  21.55  21.1   18.58  19.49  22.01  18.43
  22.7   23.    22.32  23.77  24.22  19.87  19.95  20.33  19.95  20.03
  19.8   20.71  19.95  19.8   19.95  20.33  20.41  21.78  20.87  21.02
  20.49  20.03  21.1   21.78  22.01  20.41  19.57  21.1   19.95  20.18
  18.65  19.49  18.81  19.95  20.87  18.81  19.65  20.49  23.54  19.42
  20.49  20.03  19.95  20.03  20.56  21.17  22.7   25.44  23.38  21.17
  21.4   22.93  21.25  21.93  20.87  23.46  21.32  21.02  22.16  21.48
  21.93  22.24  21.78  23.54  22.93  21.55  21.32  21.86  21.32  22.93
  21.25  20.94  19.72  22.47  20.56  20.87  20.94  22.16  20.94  20.18
  20.87  23.77  19.34  21.55  24.83  22.62  21.93  22.16  22.16  22.39
  21.86  20.1   23.38  22.39  22.7   23.61  22.09  19.49  24.07  23.54
  23.99  22.09  21.25  22.24  21.25  21.32  23.16  22.09  21.55  17.97
  20.56  22.62  21.78  20.71  21.48  20.64  21.25  23.77  21.71  22.24
  21.17  22.55  19.87  22.16  21.25  22.39  22.32  19.49  19.8   20.71
  19.49  20.41  19.42  22.01  21.02  21.71  19.49  21.78  19.95  21.63
  21.48  21.48  21.25  23.46  21.93  22.55  21.63  21.86  22.85  21.78
  21.48  22.16  21.32  22.39  23.54  22.7   21.93  22.93  22.24  22.16
  21.71  21.55  22.55  18.65  22.55  20.94  18.81  18.04  17.89  18.88
  21.1   18.2   18.43  18.27  20.1   19.19  19.57  19.65  21.32  19.42
  19.34  19.8   19.57  18.81  19.04  19.19  19.19  20.79  19.8   19.34
  19.57  20.1   19.57  19.87  19.87  20.1   19.49  21.25  20.1   20.18
  19.87  19.57  20.33  20.03  21.71  20.41  20.1   20.18  20.18  19.19
  20.94  27.96  23.46  20.33  20.1   19.8   22.16  19.95  19.26  19.87
  19.72  19.8   19.65  20.03  21.4   22.01  20.49  20.71  20.64  19.87
  22.01  20.94  22.39  21.25  21.48  18.5   18.27  20.56  19.8 ]",775,1,5
3,5,1,1763491533.3821151,1763491534.6866872,"[32.77  4.92  6.75  6.37  6.68  7.74  7.82  7.06  6.98  6.68  7.52  7.06
  7.67  7.13  7.36  7.21  6.6   7.9   7.21  6.98  6.9   7.82  7.74  7.52
  7.06  7.06  6.68  6.52  6.68  7.29  6.98  7.44  7.06  7.21  7.21  7.21
  6.83  7.21  7.06  7.13  7.52  7.29  7.82  7.13  7.13  6.98  7.06  8.28
  7.52  7.74  7.13  7.59  8.05  7.44  7.82  8.2   8.66  7.21  8.13  6.75
  7.52  7.82  8.43  9.42  8.13  7.44  7.29  6.98  7.44  7.29  6.37  7.44
  7.13  7.74  7.74  7.67  7.52  7.52  6.52  6.9   6.9   6.68  6.9   6.98
  7.36  7.06  7.13  7.06  7.13  7.13  7.13  6.83  6.22  6.75  5.91  6.37
  6.45  6.37  7.59  6.45  7.29  6.83  6.75  6.52  6.75  7.44  7.21  7.9
  7.9   7.67  8.13  8.2   7.36  8.05  8.58  8.81  8.2   7.44  7.44  7.21
  7.13  7.29  7.13  8.74  7.21  7.36  7.06  6.75  8.13  6.83  6.68  7.06
  7.52  7.74  7.06  7.06  7.21  7.29  7.36  7.67  7.06  7.44  6.9   6.9
  7.29  7.36  6.83  7.97  7.52  7.9   7.06  7.36  7.9   7.67  7.13  7.74
  7.29  6.29  7.44  7.82  8.28  7.36  7.21  7.13  7.21  7.52  7.59  7.9
  8.13  6.83  7.9   7.29  8.13  7.29  7.21  7.97  7.44  8.74  7.06  6.9
  7.06  7.97  7.59  7.52  6.83  8.05  8.2   7.52  7.59  7.21  7.06  6.9
  6.75  6.83  7.52  6.68  6.75  6.83  7.13  6.98  6.9   7.06  7.29  7.9
  7.44  7.52  8.13  7.06  6.68  6.98  7.59  7.29  6.37  7.36  8.2   7.9
  7.36  7.74  7.36  7.52  7.59  8.13  8.2   7.21  8.35  7.44  6.14  7.21
  6.68  7.52  7.59  6.68  7.36  6.98  7.06  7.13  7.82  6.6   7.52  6.22
  6.37  6.29  7.29  6.52  7.13  6.98  6.75  6.98  7.44  7.44  6.9   7.13
  7.06  7.36  7.06  6.9   6.45  7.36  7.21  6.45  6.29  6.29  7.52  7.44
  8.28  7.59  6.83  8.05  6.52  6.22  7.36  8.13  6.75  6.37  6.37  6.52
  8.13  6.98  6.98  7.21  6.45  6.6   6.52  6.68  7.9   8.35  7.13  7.44
  7.59  7.36  7.97  6.75  8.51  7.97  6.98  6.68  6.45  7.36  8.05]",775,1,5
4,1,2,1763491535.9104285,1763491537.2151473,"[10.34 29.95 28.88 28.65 29.03 28.8  29.64 29.34 29.64 28.88 30.17 30.25
 29.87 29.95 29.79 30.1  29.87 29.79 30.02 30.17 23.77 24.22 24.15 24.38
 24.38 23.61 23.99 23.92 24.53 24.38 29.56 29.64 29.87 29.11 29.18 29.79
 29.49 29.18 29.11 29.79 30.63 30.94 30.33 31.7  31.55 31.4  31.85 32.01
 30.79 31.24 31.32 31.7  31.55 31.17 30.86 31.09 30.71 30.79 30.63 28.8
 29.64 28.8  28.88 28.88 28.88 29.18 28.95 29.03 29.11 29.72 29.95 29.72
 30.1  29.64 29.95 29.87 30.02 29.95 29.87 23.54 23.61 23.77 23.77 23.84
 24.76 24.38 24.53 23.77 23.99 30.4  30.17 29.72 30.25 30.1  29.41 29.49
 29.41 29.49 29.64 30.71 31.17 30.4  30.17 31.47 31.24 30.71 31.47 31.09
 30.79 31.47 30.86 30.71 30.56 30.94 30.48 30.56 30.4  30.56 29.49 29.56
 29.26 28.8  29.26 29.56 29.41 29.56 29.41 29.34 30.17 30.33 30.17 30.17
 30.02 30.56 31.62 30.94 31.62 31.85 24.3  24.99 24.68 24.76 23.77 24.83
 24.53 24.76 23.77 24.22 29.87 29.87 30.17 30.17 29.72 30.4  30.25 30.17
 31.47 30.02 30.56 30.63 31.32 30.63 30.79 31.4  30.86 30.71 31.32 31.62
 31.09 31.78 30.94 31.01 30.48 30.86 30.48 31.24 31.55 29.26 29.18 29.64
 28.95 29.34 29.26 28.95 29.26 29.18 29.18 30.17 30.1  31.32 30.1  32.31
 30.94 30.63 31.01 31.01 31.47 24.68 24.99 24.3  24.38 24.07 24.38 24.3
 24.91 24.22 24.61 30.48 30.4  29.79 30.33 30.02 30.17 29.56 29.18 29.18
 29.49 30.4  30.56 31.32 31.4  31.55 31.4  31.01 31.47 31.85 30.86 31.85
 31.47 31.47 31.09 31.93 31.09 31.01 30.71 30.94 29.26 29.26 29.11 29.34
 29.49 29.26 29.11 29.11 29.95 30.1  31.17 30.48 30.33 30.4  31.17 31.09
 30.4  29.64 30.4  30.02 23.84 24.76 24.76 24.68 23.77 23.92 24.38 24.07
 23.77 23.92 29.56 29.79 29.18 29.79 29.79 30.33 30.17 30.48 29.95 30.56
 31.01 30.94 31.62 31.17 31.4  30.86 31.62 30.86 31.24 31.7  31.17 30.56
 30.79 30.79 30.79 31.17 30.63 30.63 30.63 30.86 30.71 31.01 31.24]",775,1,5
5,3,2,1763491535.9104285,1763491537.2151473,"[ 9.58 12.7  11.56 11.48 11.64 11.41 11.94 11.64 13.08 11.25 11.1  11.33
 11.25 10.95 11.41 11.33 10.87 10.95 11.33 11.79 13.39 13.62 13.24 13.31
 12.93 12.93 12.78 12.63 12.86 13.08  9.8   9.8   9.58  9.65  9.5  10.03
  9.8   9.58  9.42 10.11 10.03 10.41  9.58 11.33 10.95 10.41 10.49 11.1
 11.33 11.18 12.02 11.18 11.02 10.49 10.03 10.34  9.96 10.34  9.8   9.88
 11.79 11.25 11.56 11.33 11.33 11.64 11.56 12.32 11.86 11.1  10.8  10.8
 10.87 10.95 10.8  12.17 10.95 10.87 11.1  12.93 13.01 12.86 13.16 13.24
 13.16 12.93 13.08 13.16 13.54 10.19 10.34 10.19 10.03 11.1   9.73 10.11
  9.8   9.65 10.26 10.26 10.8   9.65  9.42  9.96 10.11  9.96 10.34  9.73
  9.8  10.8  10.19 10.19 10.11 10.19 10.19  9.96  9.88 10.41 11.56 11.71
 11.71 11.33 11.41 11.41 11.71 13.31 12.86 12.7  13.16 12.02 14.   11.94
 12.09 11.86 11.1  11.41 11.25 11.64 13.08 13.69 13.01 13.16 13.08 13.24
 13.24 13.92 12.86 13.08 10.49 10.64 11.41 11.56 10.34 10.87 11.1  11.71
 11.48 11.02  9.65 10.11 10.64  9.8   9.65 10.19  9.8  10.49  9.65  9.88
 10.95 10.87 10.34 10.11  9.96 10.26  9.8  10.72 11.94 13.31 13.08 13.31
 12.93 12.93 13.24 14.31 14.61 12.4  12.32 13.08 11.94 11.71 11.1  10.95
 11.56 10.95 10.8  11.1  11.48 12.78 13.01 13.31 13.24 13.31 13.77 13.62
 13.92 12.55 12.47 11.41 11.79 10.19 11.25 10.87 10.41  9.5   9.27  9.73
  9.5   9.42 10.26 10.64 10.95 10.49 10.87 10.26 10.64 11.1  10.34 11.94
 10.8  11.25 11.1  11.02 10.8  10.57 12.02 10.95 13.01 12.63 13.54 12.63
 12.93 13.16 12.47 12.4  12.09 11.48 11.41 11.56 11.1  11.18 11.1  11.25
 11.1  11.1  11.1  11.79 12.93 13.39 13.92 14.08 12.7  12.55 13.77 13.47
 12.7  12.93  9.8   9.96  9.27  9.96 10.26 10.41 11.41 10.95  9.8   9.42
 11.1  10.49 10.95 10.8  10.8  11.02 10.64 10.41 10.34 11.56 10.49 10.26
 11.02 11.02 11.64 11.25 10.57 11.33 11.18 11.33 11.25 10.8  11.79]",775,1,5
6,4,2,1763491535.9104285,1763491537.2151473,"[19.11 25.14 22.09 21.17 22.32 21.17 24.45 22.09 29.11 21.4  21.17 21.17
 21.86 20.41 22.47 22.93 21.02 21.1  27.66 29.95 31.7  30.56 23.54 24.22
 23.77 23.38 24.3  23.61 24.61 24.22 19.72 19.87 19.57 19.8  18.88 24.38
 19.42 19.26 19.19 28.19 21.02 20.49 19.04 24.68 27.28 20.41 23.99 24.91
 24.91 26.97 23.84 25.75 24.07 20.33 19.87 22.01 20.64 20.03 19.11 19.26
 22.09 20.94 21.4  21.02 21.25 23.54 21.71 21.78 23.31 22.93 20.26 20.26
 21.55 20.71 20.49 21.02 22.39 21.63 21.4  23.38 24.45 23.92 25.22 27.12
 24.76 24.83 23.92 24.22 24.3  22.77 22.7  20.87 20.56 22.85 19.72 23.
 19.72 22.39 20.18 19.72 20.87 19.19 18.73 21.86 19.87 19.8  21.55 19.87
 20.03 23.77 25.14 21.93 19.87 20.56 20.26 19.57 19.26 20.94 23.46 22.77
 22.7  21.02 21.93 21.1  22.55 31.78 26.21 25.52 28.95 24.83 33.76 27.05
 22.09 21.78 22.55 23.46 21.48 22.39 24.45 24.83 24.38 23.61 24.22 24.38
 24.83 27.2  26.51 27.96 22.62 23.31 25.29 22.32 20.64 22.85 26.13 27.96
 25.83 25.29 21.93 20.26 26.51 20.26 19.42 20.26 21.02 21.93 19.11 19.42
 23.46 22.24 22.62 20.18 19.42 22.24 19.19 21.55 24.15 29.64 31.7  30.56
 25.44 32.85 26.13 24.61 26.74 27.12 23.92 22.93 23.16 21.63 21.1  21.78
 21.25 21.32 21.17 22.32 22.01 23.31 24.91 26.28 32.23 29.41 23.92 25.06
 29.03 22.77 23.23 24.22 23.31 23.08 23.23 23.16 20.1  19.34 18.81 19.19
 19.11 18.88 21.32 22.55 24.15 27.2  22.32 21.48 22.24 26.74 21.93 22.55
 26.44 22.55 23.16 25.37 27.43 21.86 23.92 27.96 26.74 29.64 27.12 32.85
 28.04 24.83 24.15 25.22 23.31 21.55 23.16 21.17 21.25 21.4  22.16 21.02
 21.32 21.1  21.02 23.31 23.77 30.56 29.49 29.49 23.16 23.08 25.29 25.22
 23.99 23.69 20.33 20.56 18.65 27.2  25.44 25.37 24.83 27.66 26.82 19.04
 24.15 19.8  25.98 26.89 26.74 26.13 26.36 23.99 23.92 27.58 22.93 25.22
 21.71 26.67 24.38 22.85 24.3  20.49 25.67 19.65 28.57 21.78 20.03]",775,1,5
7,5,2,1763491535.9104285,1763491537.2151473,"[7.74 6.52 6.22 6.22 6.07 6.98 7.06 6.6  5.99 7.13 7.06 6.68 6.22 7.13
 6.75 6.14 6.45 7.97 8.28 7.29 7.9  7.29 6.52 6.07 5.68 5.84 5.61 6.22
 6.6  6.83 7.21 6.75 6.75 6.98 6.83 6.98 6.75 5.99 8.35 6.75 6.83 6.45
 7.21 8.43 6.6  7.74 8.13 8.35 8.89 8.13 7.9  8.35 7.59 6.68 7.74 6.68
 7.21 6.52 6.22 6.83 5.99 6.52 6.29 5.99 6.9  6.6  6.45 6.98 6.45 6.07
 6.37 6.9  5.99 6.52 6.45 7.06 6.98 6.83 5.76 6.14 5.84 5.84 6.6  6.37
 6.6  6.07 6.29 6.37 7.29 7.06 7.29 6.83 8.13 6.98 7.06 6.6  7.52 6.83
 8.13 6.83 6.29 6.07 7.06 7.06 7.59 7.9  6.98 6.75 6.9  7.67 6.98 6.52
 7.21 6.9  6.9  5.99 6.6  7.21 8.05 6.68 5.84 6.52 6.07 6.52 7.97 7.06
 8.2  8.2  6.98 9.73 7.59 7.74 8.2  6.9  7.13 6.68 6.98 6.75 6.22 6.45
 6.07 6.29 5.91 6.83 6.29 5.84 6.45 7.97 7.59 7.97 7.36 6.9  7.29 8.28
 7.67 7.44 7.82 6.98 6.45 7.29 6.37 6.52 7.36 6.6  7.67 6.52 6.9  7.52
 6.98 7.13 6.83 6.29 6.68 6.14 6.9  7.29 7.74 7.74 7.36 7.13 7.44 7.29
 8.81 9.12 7.13 6.75 8.2  8.51 6.98 6.45 6.52 6.75 7.06 7.21 7.9  6.98
 5.84 6.37 6.22 6.22 6.29 5.46 6.07 6.98 5.23 5.3  7.29 7.44 6.52 6.98
 6.98 6.75 5.99 5.91 6.14 6.45 6.22 6.9  6.75 7.36 7.59 7.13 7.67 7.13
 8.13 6.83 7.44 7.9  7.21 7.36 7.52 7.74 6.9  7.29 8.2  7.59 7.97 7.67
 7.82 7.29 7.29 7.9  7.97 6.52 6.45 6.6  6.83 7.06 6.98 6.98 6.83 7.29
 7.06 6.9  7.13 5.84 7.06 7.36 6.29 5.38 5.07 5.61 5.46 5.3  6.22 7.29
 6.9  5.91 7.13 7.21 7.97 7.74 7.67 7.21 5.99 7.9  7.13 8.58 8.58 8.28
 7.52 7.97 7.21 7.82 8.43 7.13 7.29 7.13 8.28 7.67 7.52 7.52 7.44 8.13
 6.6  8.05 6.83 7.44]",775,1,5
8,1,3,1763491538.4379706,1763491539.7390103,"[31.17 30.17 30.17 30.25 29.95 29.95 29.95 29.87 30.56 30.02 30.1  30.17
 30.1  29.87 30.25 29.87 30.4  30.48 30.17 30.1  29.56 29.56 29.64 29.34
 29.34 29.11 29.26 29.18 29.18 29.49 29.72 29.64 29.72 29.64 29.64 29.64
 29.79 29.64 29.72 29.79 29.87 30.17 30.17 30.17 30.17 30.17 29.95 29.95
 30.4  29.95 30.02 29.87 30.02 30.02 30.02 29.87 30.1  30.1  30.17 29.95
 29.95 30.33 29.79 30.02 29.87 30.17 30.1  30.25 30.25 30.02 30.17 30.25
 30.4  30.48 30.4  30.17 30.02 30.1  29.79 29.87 29.41 29.26 29.41 29.56
 29.64 29.49 30.1  29.49 29.72 29.64 29.79 29.64 29.79 29.95 29.56 29.87
 29.95 29.72 29.87 30.25 30.33 30.1  30.1  29.95 29.95 30.02 29.87 29.95
 30.1  29.87 29.95 30.1  30.56 30.02 30.17 30.17 30.17 30.17 30.48 30.33
 30.25 30.17 30.33 30.4  30.33 30.48 30.25 30.25 30.02 30.17 30.1  29.72
 29.87 30.25 29.79 29.87 30.02 30.17 29.64 29.34 29.18 29.34 29.64 29.34
 29.26 29.26 29.49 29.34 29.72 29.64 30.02 29.95 29.79 29.79 29.87 29.87
 29.87 30.02 29.87 30.25 30.1  30.25 29.87 29.87 29.79 30.02 29.87 30.02
 30.1  29.87 29.95 30.02 30.33 30.1  29.95 29.87 30.25 30.4  30.17 30.25
 30.25 30.4  30.33 30.17 30.48 30.17 30.33 30.25 29.87 29.87 29.95 29.79
 30.02 29.79 29.79 30.02 30.17 29.41 29.49 29.34 29.79 29.56 29.41 29.26
 29.41 29.41 29.34 29.79 30.17 29.72 30.02 29.87 29.64 29.64 29.79 29.56
 29.87 29.87 29.79 29.95 30.17 30.1  29.95 30.1  29.95 29.95 30.25 29.87
 30.02 29.95 30.17 30.33 30.17 30.1  30.02 30.48 30.33 30.17 30.33 30.02
 30.25 30.17 29.95 30.33 29.87 30.4  29.87 30.17 29.64 30.02 29.95 29.79
 29.79 29.72 30.02 29.95 29.41 29.34 29.41 29.34 29.34 29.34 29.49 29.41
 29.56 29.41 29.79 29.72 29.79 30.02 29.87 29.64 29.79 29.64 29.64 29.95
 30.25 30.17 29.87 30.4  30.1  30.02 29.87 31.32 30.33 29.95 30.1  30.02
 30.33 30.4  30.1  30.33 30.02 30.1  30.48 30.33 30.33 30.17 30.1 ]",775,1,5
9,2,3,1763491538.4379706,1763491539.7390103,"[45.59 43.45 42.99 42.99 43.07 43.07 43.3  43.14 43.3  43.07 42.84 42.84
 42.92 42.92 43.53 43.37 42.99 43.6  43.22 43.14 43.68 42.92 42.61 42.84
 42.69 42.61 42.46 42.61 42.69 42.46 40.86 40.47 40.78 41.01 40.63 40.78
 40.47 40.47 40.78 41.24 41.7  42.31 41.92 42.53 42.   42.23 41.7  41.85
 42.   41.92 42.23 42.   42.   42.38 42.46 42.69 42.99 42.23 42.38 42.99
 43.14 43.68 43.07 43.07 42.92 42.69 42.69 42.69 42.69 42.99 43.68 43.76
 43.3  43.3  43.37 43.3  43.37 42.99 42.92 43.14 43.07 42.69 42.99 43.07
 42.69 42.76 43.3  42.84 42.69 40.55 40.63 40.63 40.7  40.86 40.55 40.55
 40.86 40.55 40.93 41.92 42.38 42.08 41.77 42.23 41.92 42.31 41.7  41.92
 42.53 42.46 42.61 42.38 42.53 42.69 42.53 42.31 42.76 42.69 43.3  43.14
 42.99 44.44 43.22 42.99 43.07 43.68 42.92 42.69 42.92 42.76 42.99 42.92
 42.99 43.68 43.22 43.14 42.99 43.22 42.76 42.61 42.69 42.84 42.69 42.53
 42.69 42.38 42.69 42.76 40.47 40.55 41.47 40.78 40.63 40.93 40.78 40.63
 40.63 40.7  41.92 42.23 42.   42.15 41.7  41.92 42.   42.08 42.08 42.84
 42.38 42.61 42.08 42.31 42.69 42.46 42.15 41.85 42.15 42.46 42.46 42.84
 42.61 42.84 42.69 42.69 42.84 42.99 42.53 43.45 43.07 42.84 43.07 43.07
 43.14 43.07 42.84 43.22 43.53 43.07 42.92 42.69 43.37 42.53 42.23 42.84
 42.69 42.92 43.22 40.86 41.08 40.7  40.7  40.86 40.4  40.78 40.86 40.86
 42.15 41.7  41.77 41.85 41.77 41.85 42.08 41.77 41.77 41.62 42.   42.46
 42.08 42.15 42.38 42.38 42.38 42.84 42.38 42.38 42.92 43.14 42.76 42.99
 42.69 43.07 42.84 43.3  42.61 43.07 43.22 43.22 42.92 44.06 43.14 43.14
 43.07 42.99 43.14 43.37 42.99 42.53 42.46 42.69 42.92 42.61 42.76 42.61
 43.22 42.76 40.7  40.55 40.63 41.01 40.55 40.7  40.55 40.32 40.7  42.08
 42.23 42.15 41.92 42.08 42.08 42.   41.92 42.   41.77 42.15 41.85 42.08
 42.38 42.23 42.23 42.15 42.38 42.38 42.46 42.23 42.31 42.   42.15]",775,1,5
