,Rx,Tx,Voltages (mV),Phase1,Phase3,Phase4,Phase6,Phase7,Phase8,Frequency (MHz),Run Exp Num,NumMPPs,Dist (m)
0,Tag1,Tag2,"[658.69 194.74 195.05 194.9  194.59 194.67 195.2  194.74 195.35 194.44
 194.67 199.78 200.01 199.55 199.93 200.16 199.63 199.86 200.54 199.93
 210.15 210.61 210.15 211.22 210.84 211.07 210.38 211.15 210.31 210.46
 184.6  185.13 184.75 185.05 185.13 184.52 184.44 185.51 184.67 184.67
 187.34 187.34 187.19 187.5  187.65 187.42 187.11 187.5  187.11 187.57
 192.53 192.84 193.14 192.45 192.38 192.91 191.77 192.61 192.53 192.38
 195.43 195.2  195.58 194.67 195.28 195.28 194.51 194.74 194.97 194.67
 199.93 199.24 199.47 199.02 199.86 199.32 199.4  200.08 199.47 209.85
 210.92 210.84 210.54 211.07 210.54 210.23 211.07 210.54 211.45 185.28
 185.05 185.05 185.05 185.05 185.51 185.44 185.28 185.21 185.21 187.95
 187.72 187.8  187.04 188.26 188.26 187.19 188.03 187.72 187.34 192.91
 192.23 192.68 192.15 192.53 192.23 192.07 192.3  192.45 192.23 195.51
 194.74 195.28 195.28 195.35 194.67 195.28 194.9  194.51 195.2  199.78
 200.31 199.86 199.93 200.08 200.08 200.01 200.16 200.08 209.93 210.23
 210.54 210.54 210.84 210.08 210.46 210.77 210.61 210.69 184.6  184.82
 185.28 184.44 185.51 184.9  185.44 184.98 184.82 184.9  187.8  187.5
 187.57 187.27 188.26 187.04 187.88 188.33 187.04 187.42 192.61 192.
 191.77 191.62 192.3  192.07 192.45 192.3  192.23 192.99 195.12 195.05
 195.12 194.82 195.28 194.82 195.35 194.82 195.28 199.93 199.02 199.4
 200.01 200.08 199.47 199.17 199.86 199.93 199.55 210.15 210.31 210.23
 210.92 210.31 210.38 211.15 210.69 211.3  210.61 184.75 184.9  184.37
 185.13 184.9  185.66 185.21 185.36 185.51 185.36 187.65 187.27 186.81
 186.96 187.27 187.19 187.34 187.34 187.34 187.65 192.91 192.91 192.53
 193.22 192.68 192.45 192.61 192.99 192.84 192.3  194.82 194.74 194.82
 195.51 194.51 195.28 195.89 195.05 195.58 200.77 200.77 200.92 200.77
 200.62 200.77 200.31 200.92 200.62 200.24 210.92 210.92 211.45 211.6
 211.83 211.38 211.15 211.99 210.69 211.83 185.59 185.36 185.44 185.05
 185.36 186.27 185.89 185.21 185.89 185.13 187.88 187.95 188.33 188.11
 188.72 187.8  187.8  188.33 187.88 188.03 192.61 192.84 193.45 193.14
 193.22 192.76 193.14 193.52 193.14 193.22 192.91 192.99 193.83]",194.9,199.82,210.495,184.9,187.34,192.53,845,0,1,1.2
1,Tag1,Tag2,"[658.69 194.74 195.05 194.9  194.59 194.67 195.2  194.74 195.35 194.44
 194.67 199.78 200.01 199.55 199.93 200.16 199.63 199.86 200.54 199.93
 210.15 210.61 210.15 211.22 210.84 211.07 210.38 211.15 210.31 210.46
 184.6  185.13 184.75 185.05 185.13 184.52 184.44 185.51 184.67 184.67
 187.34 187.34 187.19 187.5  187.65 187.42 187.11 187.5  187.11 187.57
 192.53 192.84 193.14 192.45 192.38 192.91 191.77 192.61 192.53 192.38
 195.43 195.2  195.58 194.67 195.28 195.28 194.51 194.74 194.97 194.67
 199.93 199.24 199.47 199.02 199.86 199.32 199.4  200.08 199.47 209.85
 210.92 210.84 210.54 211.07 210.54 210.23 211.07 210.54 211.45 185.28
 185.05 185.05 185.05 185.05 185.51 185.44 185.28 185.21 185.21 187.95
 187.72 187.8  187.04 188.26 188.26 187.19 188.03 187.72 187.34 192.91
 192.23 192.68 192.15 192.53 192.23 192.07 192.3  192.45 192.23 195.51
 194.74 195.28 195.28 195.35 194.67 195.28 194.9  194.51 195.2  199.78
 200.31 199.86 199.93 200.08 200.08 200.01 200.16 200.08 209.93 210.23
 210.54 210.54 210.84 210.08 210.46 210.77 210.61 210.69 184.6  184.82
 185.28 184.44 185.51 184.9  185.44 184.98 184.82 184.9  187.8  187.5
 187.57 187.27 188.26 187.04 187.88 188.33 187.04 187.42 192.61 192.
 191.77 191.62 192.3  192.07 192.45 192.3  192.23 192.99 195.12 195.05
 195.12 194.82 195.28 194.82 195.35 194.82 195.28 199.93 199.02 199.4
 200.01 200.08 199.47 199.17 199.86 199.93 199.55 210.15 210.31 210.23
 210.92 210.31 210.38 211.15 210.69 211.3  210.61 184.75 184.9  184.37
 185.13 184.9  185.66 185.21 185.36 185.51 185.36 187.65 187.27 186.81
 186.96 187.27 187.19 187.34 187.34 187.34 187.65 192.91 192.91 192.53
 193.22 192.68 192.45 192.61 192.99 192.84 192.3  194.82 194.74 194.82
 195.51 194.51 195.28 195.89 195.05 195.58 200.77 200.77 200.92 200.77
 200.62 200.77 200.31 200.92 200.62 200.24 210.92 210.92 211.45 211.6
 211.83 211.38 211.15 211.99 210.69 211.83 185.59 185.36 185.44 185.05
 185.36 186.27 185.89 185.21 185.89 185.13 187.88 187.95 188.33 188.11
 188.72 187.8  187.8  188.33 187.88 188.03 192.61 192.84 193.45 193.14
 193.22 192.76 193.14 193.52 193.14 193.22 192.91 192.99 193.83]",195.08499999999998,199.435,210.69,185.21,187.8,192.265,845,0,1,1.2
2,Tag1,Tag2,"[658.69 194.74 195.05 194.9  194.59 194.67 195.2  194.74 195.35 194.44
 194.67 199.78 200.01 199.55 199.93 200.16 199.63 199.86 200.54 199.93
 210.15 210.61 210.15 211.22 210.84 211.07 210.38 211.15 210.31 210.46
 184.6  185.13 184.75 185.05 185.13 184.52 184.44 185.51 184.67 184.67
 187.34 187.34 187.19 187.5  187.65 187.42 187.11 187.5  187.11 187.57
 192.53 192.84 193.14 192.45 192.38 192.91 191.77 192.61 192.53 192.38
 195.43 195.2  195.58 194.67 195.28 195.28 194.51 194.74 194.97 194.67
 199.93 199.24 199.47 199.02 199.86 199.32 199.4  200.08 199.47 209.85
 210.92 210.84 210.54 211.07 210.54 210.23 211.07 210.54 211.45 185.28
 185.05 185.05 185.05 185.05 185.51 185.44 185.28 185.21 185.21 187.95
 187.72 187.8  187.04 188.26 188.26 187.19 188.03 187.72 187.34 192.91
 192.23 192.68 192.15 192.53 192.23 192.07 192.3  192.45 192.23 195.51
 194.74 195.28 195.28 195.35 194.67 195.28 194.9  194.51 195.2  199.78
 200.31 199.86 199.93 200.08 200.08 200.01 200.16 200.08 209.93 210.23
 210.54 210.54 210.84 210.08 210.46 210.77 210.61 210.69 184.6  184.82
 185.28 184.44 185.51 184.9  185.44 184.98 184.82 184.9  187.8  187.5
 187.57 187.27 188.26 187.04 187.88 188.33 187.04 187.42 192.61 192.
 191.77 191.62 192.3  192.07 192.45 192.3  192.23 192.99 195.12 195.05
 195.12 194.82 195.28 194.82 195.35 194.82 195.28 199.93 199.02 199.4
 200.01 200.08 199.47 199.17 199.86 199.93 199.55 210.15 210.31 210.23
 210.92 210.31 210.38 211.15 210.69 211.3  210.61 184.75 184.9  184.37
 185.13 184.9  185.66 185.21 185.36 185.51 185.36 187.65 187.27 186.81
 186.96 187.27 187.19 187.34 187.34 187.34 187.65 192.91 192.91 192.53
 193.22 192.68 192.45 192.61 192.99 192.84 192.3  194.82 194.74 194.82
 195.51 194.51 195.28 195.89 195.05 195.58 200.77 200.77 200.92 200.77
 200.62 200.77 200.31 200.92 200.62 200.24 210.92 210.92 211.45 211.6
 211.83 211.38 211.15 211.99 210.69 211.83 185.59 185.36 185.44 185.05
 185.36 186.27 185.89 185.21 185.89 185.13 187.88 187.95 188.33 188.11
 188.72 187.8  187.8  188.33 187.88 188.03 192.61 192.84 193.45 193.14
 193.22 192.76 193.14 193.52 193.14 193.22 192.91 192.99 193.83]",195.09,200.04500000000002,210.54,184.9,187.535,192.265,845,0,1,1.2
3,Tag1,Tag2,"[658.69 194.74 195.05 194.9  194.59 194.67 195.2  194.74 195.35 194.44
 194.67 199.78 200.01 199.55 199.93 200.16 199.63 199.86 200.54 199.93
 210.15 210.61 210.15 211.22 210.84 211.07 210.38 211.15 210.31 210.46
 184.6  185.13 184.75 185.05 185.13 184.52 184.44 185.51 184.67 184.67
 187.34 187.34 187.19 187.5  187.65 187.42 187.11 187.5  187.11 187.57
 192.53 192.84 193.14 192.45 192.38 192.91 191.77 192.61 192.53 192.38
 195.43 195.2  195.58 194.67 195.28 195.28 194.51 194.74 194.97 194.67
 199.93 199.24 199.47 199.02 199.86 199.32 199.4  200.08 199.47 209.85
 210.92 210.84 210.54 211.07 210.54 210.23 211.07 210.54 211.45 185.28
 185.05 185.05 185.05 185.05 185.51 185.44 185.28 185.21 185.21 187.95
 187.72 187.8  187.04 188.26 188.26 187.19 188.03 187.72 187.34 192.91
 192.23 192.68 192.15 192.53 192.23 192.07 192.3  192.45 192.23 195.51
 194.74 195.28 195.28 195.35 194.67 195.28 194.9  194.51 195.2  199.78
 200.31 199.86 199.93 200.08 200.08 200.01 200.16 200.08 209.93 210.23
 210.54 210.54 210.84 210.08 210.46 210.77 210.61 210.69 184.6  184.82
 185.28 184.44 185.51 184.9  185.44 184.98 184.82 184.9  187.8  187.5
 187.57 187.27 188.26 187.04 187.88 188.33 187.04 187.42 192.61 192.
 191.77 191.62 192.3  192.07 192.45 192.3  192.23 192.99 195.12 195.05
 195.12 194.82 195.28 194.82 195.35 194.82 195.28 199.93 199.02 199.4
 200.01 200.08 199.47 199.17 199.86 199.93 199.55 210.15 210.31 210.23
 210.92 210.31 210.38 211.15 210.69 211.3  210.61 184.75 184.9  184.37
 185.13 184.9  185.66 185.21 185.36 185.51 185.36 187.65 187.27 186.81
 186.96 187.27 187.19 187.34 187.34 187.34 187.65 192.91 192.91 192.53
 193.22 192.68 192.45 192.61 192.99 192.84 192.3  194.82 194.74 194.82
 195.51 194.51 195.28 195.89 195.05 195.58 200.77 200.77 200.92 200.77
 200.62 200.77 200.31 200.92 200.62 200.24 210.92 210.92 211.45 211.6
 211.83 211.38 211.15 211.99 210.69 211.83 185.59 185.36 185.44 185.05
 185.36 186.27 185.89 185.21 185.89 185.13 187.88 187.95 188.33 188.11
 188.72 187.8  187.8  188.33 187.88 188.03 192.61 192.84 193.45 193.14
 193.22 192.76 193.14 193.52 193.14 193.22 192.91 192.99 193.83]",195.12,199.705,210.61,185.17000000000002,187.305,192.76,845,0,1,1.2
4,Tag1,Tag2,"[658.69 194.74 195.05 194.9  194.59 194.67 195.2  194.74 195.35 194.44
 194.67 199.78 200.01 199.55 199.93 200.16 199.63 199.86 200.54 199.93
 210.15 210.61 210.15 211.22 210.84 211.07 210.38 211.15 210.31 210.46
 184.6  185.13 184.75 185.05 185.13 184.52 184.44 185.51 184.67 184.67
 187.34 187.34 187.19 187.5  187.65 187.42 187.11 187.5  187.11 187.57
 192.53 192.84 193.14 192.45 192.38 192.91 191.77 192.61 192.53 192.38
 195.43 195.2  195.58 194.67 195.28 195.28 194.51 194.74 194.97 194.67
 199.93 199.24 199.47 199.02 199.86 199.32 199.4  200.08 199.47 209.85
 210.92 210.84 210.54 211.07 210.54 210.23 211.07 210.54 211.45 185.28
 185.05 185.05 185.05 185.05 185.51 185.44 185.28 185.21 185.21 187.95
 187.72 187.8  187.04 188.26 188.26 187.19 188.03 187.72 187.34 192.91
 192.23 192.68 192.15 192.53 192.23 192.07 192.3  192.45 192.23 195.51
 194.74 195.28 195.28 195.35 194.67 195.28 194.9  194.51 195.2  199.78
 200.31 199.86 199.93 200.08 200.08 200.01 200.16 200.08 209.93 210.23
 210.54 210.54 210.84 210.08 210.46 210.77 210.61 210.69 184.6  184.82
 185.28 184.44 185.51 184.9  185.44 184.98 184.82 184.9  187.8  187.5
 187.57 187.27 188.26 187.04 187.88 188.33 187.04 187.42 192.61 192.
 191.77 191.62 192.3  192.07 192.45 192.3  192.23 192.99 195.12 195.05
 195.12 194.82 195.28 194.82 195.35 194.82 195.28 199.93 199.02 199.4
 200.01 200.08 199.47 199.17 199.86 199.93 199.55 210.15 210.31 210.23
 210.92 210.31 210.38 211.15 210.69 211.3  210.61 184.75 184.9  184.37
 185.13 184.9  185.66 185.21 185.36 185.51 185.36 187.65 187.27 186.81
 186.96 187.27 187.19 187.34 187.34 187.34 187.65 192.91 192.91 192.53
 193.22 192.68 192.45 192.61 192.99 192.84 192.3  194.82 194.74 194.82
 195.51 194.51 195.28 195.89 195.05 195.58 200.77 200.77 200.92 200.77
 200.62 200.77 200.31 200.92 200.62 200.24 210.92 210.92 211.45 211.6
 211.83 211.38 211.15 211.99 210.69 211.83 185.59 185.36 185.44 185.05
 185.36 186.27 185.89 185.21 185.89 185.13 187.88 187.95 188.33 188.11
 188.72 187.8  187.8  188.33 187.88 188.03 192.61 192.84 193.45 193.14
 193.22 192.76 193.14 193.52 193.14 193.22 192.91 192.99 193.83]",195.16500000000002,200.77,211.415,185.4,188.07,193.14,845,0,1,1.2
5,Tag2,Tag1,"[258.75 281.8  282.18 284.39 281.8  281.95 283.17 284.39 281.49 282.25
 284.62 285.92 283.32 282.94 286.68 282.33 286.98 286.45 283.02 281.64
 283.17 281.11 280.88 281.57 281.11 280.8  280.96 282.48 281.95 283.78
 283.55 289.81 282.64 282.02 287.67 282.79 282.25 281.8  282.41 284.7
 286.22 284.7  285.69 285.08 286.76 284.77 285.76 286.3  284.47 286.76
 285.84 288.51 285.53 285.76 285.15 287.59 287.37 285.92 286.3  281.26
 282.25 284.16 281.8  282.41 281.19 283.55 282.86 281.34 284.47 283.4
 284.77 285.76 283.25 283.25 283.55 283.4  284.54 283.02 281.8  283.25
 280.04 280.27 282.86 280.96 281.26 281.11 282.48 279.66 283.09 282.1
 283.02 287.82 282.25 282.64 282.79 284.85 282.94 283.17 285.46 285.38
 285.76 286.91 285.61 284.92 287.59 287.52 286.22 286.22 285.23 287.37
 289.2  286.14 287.06 288.89 286.37 285.76 289.04 288.97 281.87 282.02
 284.08 282.64 280.96 283.32 281.72 280.5  280.73 282.71 285.   285.38
 284.24 283.17 285.46 284.85 283.25 283.09 284.01 280.73 283.7  281.87
 281.49 282.94 279.58 282.86 279.58 279.13 281.03 282.18 282.25 284.47
 282.56 283.02 282.41 282.33 282.79 284.31 282.71 285.76 284.77 285.31
 286.14 285.61 288.97 285.   284.31 284.47 286.68 288.13 285.84 285.76
 285.53 288.74 285.46 285.76 284.85 287.82 284.01 283.32 282.33 284.85
 283.25 284.85 281.49 283.86 281.87 282.02 282.64 285.38 282.71 281.8
 283.7  287.98 283.32 282.48 283.93 287.14 281.8  280.5  280.58 282.25
 280.88 279.2  281.57 280.42 280.96 281.95 282.94 283.63 282.94 283.02
 282.86 284.85 282.64 283.32 283.4  282.1  286.22 288.28 284.31 286.14
 288.13 285.99 285.84 289.04 285.46 286.3  285.76 286.37 289.12 287.82
 285.46 286.6  286.83 286.6  290.11 281.11 283.47 285.69 281.41 282.02
 282.48 283.4  281.03 281.11 284.39 283.4  284.62 283.17 283.63 283.93
 283.02 283.47 282.79 285.84 283.25 280.65 285.76 280.35 280.58 280.73
 282.71 280.35 280.27 282.25 281.57 283.02 283.25 282.33 282.1  285.
 282.71 282.86 282.64 285.38 282.25 286.07 284.7  285.92 286.22 285.99
 286.37 285.84 285.08 285.76 284.62 285.69 285.92 286.53 288.2  285.61
 285.69 286.68 286.98 290.57 287.44 286.45 285.15 288.05]",281.95,283.97,281.34000000000003,282.71500000000003,285.385,286.11,845,0,1,1.2
6,Tag2,Tag1,"[258.75 281.8  282.18 284.39 281.8  281.95 283.17 284.39 281.49 282.25
 284.62 285.92 283.32 282.94 286.68 282.33 286.98 286.45 283.02 281.64
 283.17 281.11 280.88 281.57 281.11 280.8  280.96 282.48 281.95 283.78
 283.55 289.81 282.64 282.02 287.67 282.79 282.25 281.8  282.41 284.7
 286.22 284.7  285.69 285.08 286.76 284.77 285.76 286.3  284.47 286.76
 285.84 288.51 285.53 285.76 285.15 287.59 287.37 285.92 286.3  281.26
 282.25 284.16 281.8  282.41 281.19 283.55 282.86 281.34 284.47 283.4
 284.77 285.76 283.25 283.25 283.55 283.4  284.54 283.02 281.8  283.25
 280.04 280.27 282.86 280.96 281.26 281.11 282.48 279.66 283.09 282.1
 283.02 287.82 282.25 282.64 282.79 284.85 282.94 283.17 285.46 285.38
 285.76 286.91 285.61 284.92 287.59 287.52 286.22 286.22 285.23 287.37
 289.2  286.14 287.06 288.89 286.37 285.76 289.04 288.97 281.87 282.02
 284.08 282.64 280.96 283.32 281.72 280.5  280.73 282.71 285.   285.38
 284.24 283.17 285.46 284.85 283.25 283.09 284.01 280.73 283.7  281.87
 281.49 282.94 279.58 282.86 279.58 279.13 281.03 282.18 282.25 284.47
 282.56 283.02 282.41 282.33 282.79 284.31 282.71 285.76 284.77 285.31
 286.14 285.61 288.97 285.   284.31 284.47 286.68 288.13 285.84 285.76
 285.53 288.74 285.46 285.76 284.85 287.82 284.01 283.32 282.33 284.85
 283.25 284.85 281.49 283.86 281.87 282.02 282.64 285.38 282.71 281.8
 283.7  287.98 283.32 282.48 283.93 287.14 281.8  280.5  280.58 282.25
 280.88 279.2  281.57 280.42 280.96 281.95 282.94 283.63 282.94 283.02
 282.86 284.85 282.64 283.32 283.4  282.1  286.22 288.28 284.31 286.14
 288.13 285.99 285.84 289.04 285.46 286.3  285.76 286.37 289.12 287.82
 285.46 286.6  286.83 286.6  290.11 281.11 283.47 285.69 281.41 282.02
 282.48 283.4  281.03 281.11 284.39 283.4  284.62 283.17 283.63 283.93
 283.02 283.47 282.79 285.84 283.25 280.65 285.76 280.35 280.58 280.73
 282.71 280.35 280.27 282.25 281.57 283.02 283.25 282.33 282.1  285.
 282.71 282.86 282.64 285.38 282.25 286.07 284.7  285.92 286.22 285.99
 286.37 285.84 285.08 285.76 284.62 285.69 285.92 286.53 288.2  285.61
 285.69 286.68 286.98 290.57 287.44 286.45 285.15 288.05]",282.33000000000004,283.4,281.185,282.98,286.22,287.21500000000003,845,0,1,1.2
7,Tag2,Tag1,"[258.75 281.8  282.18 284.39 281.8  281.95 283.17 284.39 281.49 282.25
 284.62 285.92 283.32 282.94 286.68 282.33 286.98 286.45 283.02 281.64
 283.17 281.11 280.88 281.57 281.11 280.8  280.96 282.48 281.95 283.78
 283.55 289.81 282.64 282.02 287.67 282.79 282.25 281.8  282.41 284.7
 286.22 284.7  285.69 285.08 286.76 284.77 285.76 286.3  284.47 286.76
 285.84 288.51 285.53 285.76 285.15 287.59 287.37 285.92 286.3  281.26
 282.25 284.16 281.8  282.41 281.19 283.55 282.86 281.34 284.47 283.4
 284.77 285.76 283.25 283.25 283.55 283.4  284.54 283.02 281.8  283.25
 280.04 280.27 282.86 280.96 281.26 281.11 282.48 279.66 283.09 282.1
 283.02 287.82 282.25 282.64 282.79 284.85 282.94 283.17 285.46 285.38
 285.76 286.91 285.61 284.92 287.59 287.52 286.22 286.22 285.23 287.37
 289.2  286.14 287.06 288.89 286.37 285.76 289.04 288.97 281.87 282.02
 284.08 282.64 280.96 283.32 281.72 280.5  280.73 282.71 285.   285.38
 284.24 283.17 285.46 284.85 283.25 283.09 284.01 280.73 283.7  281.87
 281.49 282.94 279.58 282.86 279.58 279.13 281.03 282.18 282.25 284.47
 282.56 283.02 282.41 282.33 282.79 284.31 282.71 285.76 284.77 285.31
 286.14 285.61 288.97 285.   284.31 284.47 286.68 288.13 285.84 285.76
 285.53 288.74 285.46 285.76 284.85 287.82 284.01 283.32 282.33 284.85
 283.25 284.85 281.49 283.86 281.87 282.02 282.64 285.38 282.71 281.8
 283.7  287.98 283.32 282.48 283.93 287.14 281.8  280.5  280.58 282.25
 280.88 279.2  281.57 280.42 280.96 281.95 282.94 283.63 282.94 283.02
 282.86 284.85 282.64 283.32 283.4  282.1  286.22 288.28 284.31 286.14
 288.13 285.99 285.84 289.04 285.46 286.3  285.76 286.37 289.12 287.82
 285.46 286.6  286.83 286.6  290.11 281.11 283.47 285.69 281.41 282.02
 282.48 283.4  281.03 281.11 284.39 283.4  284.62 283.17 283.63 283.93
 283.02 283.47 282.79 285.84 283.25 280.65 285.76 280.35 280.58 280.73
 282.71 280.35 280.27 282.25 281.57 283.02 283.25 282.33 282.1  285.
 282.71 282.86 282.64 285.38 282.25 286.07 284.7  285.92 286.22 285.99
 286.37 285.84 285.08 285.76 284.62 285.69 285.92 286.53 288.2  285.61
 285.69 286.68 286.98 290.57 287.44 286.45 285.15 288.05]",281.945,284.125,281.68,282.75,285.46000000000004,285.645,845,0,1,1.2
8,Tag2,Tag1,"[258.75 281.8  282.18 284.39 281.8  281.95 283.17 284.39 281.49 282.25
 284.62 285.92 283.32 282.94 286.68 282.33 286.98 286.45 283.02 281.64
 283.17 281.11 280.88 281.57 281.11 280.8  280.96 282.48 281.95 283.78
 283.55 289.81 282.64 282.02 287.67 282.79 282.25 281.8  282.41 284.7
 286.22 284.7  285.69 285.08 286.76 284.77 285.76 286.3  284.47 286.76
 285.84 288.51 285.53 285.76 285.15 287.59 287.37 285.92 286.3  281.26
 282.25 284.16 281.8  282.41 281.19 283.55 282.86 281.34 284.47 283.4
 284.77 285.76 283.25 283.25 283.55 283.4  284.54 283.02 281.8  283.25
 280.04 280.27 282.86 280.96 281.26 281.11 282.48 279.66 283.09 282.1
 283.02 287.82 282.25 282.64 282.79 284.85 282.94 283.17 285.46 285.38
 285.76 286.91 285.61 284.92 287.59 287.52 286.22 286.22 285.23 287.37
 289.2  286.14 287.06 288.89 286.37 285.76 289.04 288.97 281.87 282.02
 284.08 282.64 280.96 283.32 281.72 280.5  280.73 282.71 285.   285.38
 284.24 283.17 285.46 284.85 283.25 283.09 284.01 280.73 283.7  281.87
 281.49 282.94 279.58 282.86 279.58 279.13 281.03 282.18 282.25 284.47
 282.56 283.02 282.41 282.33 282.79 284.31 282.71 285.76 284.77 285.31
 286.14 285.61 288.97 285.   284.31 284.47 286.68 288.13 285.84 285.76
 285.53 288.74 285.46 285.76 284.85 287.82 284.01 283.32 282.33 284.85
 283.25 284.85 281.49 283.86 281.87 282.02 282.64 285.38 282.71 281.8
 283.7  287.98 283.32 282.48 283.93 287.14 281.8  280.5  280.58 282.25
 280.88 279.2  281.57 280.42 280.96 281.95 282.94 283.63 282.94 283.02
 282.86 284.85 282.64 283.32 283.4  282.1  286.22 288.28 284.31 286.14
 288.13 285.99 285.84 289.04 285.46 286.3  285.76 286.37 289.12 287.82
 285.46 286.6  286.83 286.6  290.11 281.11 283.47 285.69 281.41 282.02
 282.48 283.4  281.03 281.11 284.39 283.4  284.62 283.17 283.63 283.93
 283.02 283.47 282.79 285.84 283.25 280.65 285.76 280.35 280.58 280.73
 282.71 280.35 280.27 282.25 281.57 283.02 283.25 282.33 282.1  285.
 282.71 282.86 282.64 285.38 282.25 286.07 284.7  285.92 286.22 285.99
 286.37 285.84 285.08 285.76 284.62 285.69 285.92 286.53 288.2  285.61
 285.69 286.68 286.98 290.57 287.44 286.45 285.15 288.05]",282.945,283.015,280.96,283.16999999999996,286.065,286.6,845,0,1,1.2
9,Tag2,Tag1,"[258.75 281.8  282.18 284.39 281.8  281.95 283.17 284.39 281.49 282.25
 284.62 285.92 283.32 282.94 286.68 282.33 286.98 286.45 283.02 281.64
 283.17 281.11 280.88 281.57 281.11 280.8  280.96 282.48 281.95 283.78
 283.55 289.81 282.64 282.02 287.67 282.79 282.25 281.8  282.41 284.7
 286.22 284.7  285.69 285.08 286.76 284.77 285.76 286.3  284.47 286.76
 285.84 288.51 285.53 285.76 285.15 287.59 287.37 285.92 286.3  281.26
 282.25 284.16 281.8  282.41 281.19 283.55 282.86 281.34 284.47 283.4
 284.77 285.76 283.25 283.25 283.55 283.4  284.54 283.02 281.8  283.25
 280.04 280.27 282.86 280.96 281.26 281.11 282.48 279.66 283.09 282.1
 283.02 287.82 282.25 282.64 282.79 284.85 282.94 283.17 285.46 285.38
 285.76 286.91 285.61 284.92 287.59 287.52 286.22 286.22 285.23 287.37
 289.2  286.14 287.06 288.89 286.37 285.76 289.04 288.97 281.87 282.02
 284.08 282.64 280.96 283.32 281.72 280.5  280.73 282.71 285.   285.38
 284.24 283.17 285.46 284.85 283.25 283.09 284.01 280.73 283.7  281.87
 281.49 282.94 279.58 282.86 279.58 279.13 281.03 282.18 282.25 284.47
 282.56 283.02 282.41 282.33 282.79 284.31 282.71 285.76 284.77 285.31
 286.14 285.61 288.97 285.   284.31 284.47 286.68 288.13 285.84 285.76
 285.53 288.74 285.46 285.76 284.85 287.82 284.01 283.32 282.33 284.85
 283.25 284.85 281.49 283.86 281.87 282.02 282.64 285.38 282.71 281.8
 283.7  287.98 283.32 282.48 283.93 287.14 281.8  280.5  280.58 282.25
 280.88 279.2  281.57 280.42 280.96 281.95 282.94 283.63 282.94 283.02
 282.86 284.85 282.64 283.32 283.4  282.1  286.22 288.28 284.31 286.14
 288.13 285.99 285.84 289.04 285.46 286.3  285.76 286.37 289.12 287.82
 285.46 286.6  286.83 286.6  290.11 281.11 283.47 285.69 281.41 282.02
 282.48 283.4  281.03 281.11 284.39 283.4  284.62 283.17 283.63 283.93
 283.02 283.47 282.79 285.84 283.25 280.65 285.76 280.35 280.58 280.73
 282.71 280.35 280.27 282.25 281.57 283.02 283.25 282.33 282.1  285.
 282.71 282.86 282.64 285.38 282.25 286.07 284.7  285.92 286.22 285.99
 286.37 285.84 285.08 285.76 284.62 285.69 285.92 286.53 288.2  285.61
 285.69 286.68 286.98 290.57 287.44 286.45 285.15 288.05]",282.94,283.36,281.15,282.78499999999997,285.88,286.605,845,0,1,1.2
