,Frequency, Formatted Data, Formatted Data.1
0,700000000.0,-2.19906018368,78.9094501399
1,701507537.688,-2.25556350762,78.4488724567
2,703015075.377,-2.23774253595,78.2082387311
3,704522613.065,-2.22747263039,77.6160400991
4,706030150.754,-2.24178855778,77.2163815579
5,707537688.442,-2.25241814199,76.6150898822
6,709045226.131,-2.27336588716,76.255865005
7,710552763.819,-2.26579572144,76.0928905476
8,712060301.508,-2.31214837978,75.6372139764
9,713567839.196,-2.28522053047,75.3652387647
10,715075376.884,-2.31872738869,74.6183210638
11,716582914.573,-2.27905995565,74.603927334
12,718090452.261,-2.32983664316,74.0626066956
13,719597989.95,-2.30801553847,73.4877689675
14,721105527.638,-2.35011412679,73.0706691187
15,722613065.327,-2.32599138456,73.0948254591
16,724120603.015,-2.34362173234,72.4931040904
17,725628140.704,-2.36513124852,71.9021679864
18,727135678.392,-2.40184690769,71.6823049134
19,728643216.08,-2.41572436142,70.9646255655
20,730150753.769,-2.3527409022,70.7541016838
21,731658291.457,-2.37676153434,70.1246198926
22,733165829.146,-2.42087412509,69.8213016057
23,734673366.834,-2.42723347042,69.1728873498
24,736180904.523,-2.45114475541,68.7955731309
25,737688442.211,-2.47883344243,68.463653474
26,739195979.899,-2.45051350526,67.7517247095
27,740703517.588,-2.4857845544,67.4357384609
28,742211055.276,-2.47363990538,67.0841763062
29,743718592.965,-2.5042211956,66.4345972016
30,745226130.653,-2.53247615079,66.1061199203
31,746733668.342,-2.53502634403,65.6087628759
32,748241206.03,-2.54872368369,65.0711063937
33,749748743.719,-2.57809801107,64.6260288787
34,751256281.407,-2.57701478791,64.0812105934
35,752763819.095,-2.56016007741,63.3815321287
36,754271356.784,-2.59570269512,62.9448049763
37,755778894.472,-2.60162311657,62.6020525638
38,757286432.161,-2.65064930426,62.1153270913
39,758793969.849,-2.63026619001,61.5965365567
40,760301507.538,-2.65581214739,60.9742037035
41,761809045.226,-2.64128269367,60.6612172119
42,763316582.915,-2.67435944644,60.2278443101
43,764824120.603,-2.69602178333,59.5689036079
44,766331658.291,-2.72680514534,58.8909524371
45,767839195.98,-2.72336867456,58.1590223678
46,769346733.668,-2.75342678183,57.8002383936
47,770854271.357,-2.74326954803,57.3134020288
48,772361809.045,-2.79877492651,56.7546717375
49,773869346.734,-2.77683365304,56.3037536754
50,775376884.422,-2.82401883906,55.3814423709
51,776884422.111,-2.79040474699,54.8064080121
52,778391959.799,-2.82588813366,54.3016705131
53,779899497.487,-2.86958594683,53.7643891963
54,781407035.176,-2.90640726495,53.2952599095
55,782914572.864,-2.8676928672,52.5088075233
56,784422110.553,-2.87503319503,51.9185416413
57,785929648.241,-2.96371895332,51.2795833602
58,787437185.93,-2.97318832283,50.8175464252
59,788944723.618,-3.00599670103,50.1367921357
60,790452261.307,-3.05663867414,49.3717211627
61,791959798.995,-3.06466297542,48.9468448271
62,793467336.683,-3.05086400156,47.8687861228
63,794974874.372,-3.11423645493,47.6106592702
64,796482412.06,-3.1510881093,46.7248326053
65,797989949.749,-3.18154042046,45.9988666926
66,799497487.437,-3.20022948189,45.5140424179
67,801005025.126,-3.20703439939,44.430543631
68,802512562.814,-3.22747351862,43.975405805
69,804020100.503,-3.28351870411,43.4572211678
70,805527638.191,-3.30966739888,42.5046356438
71,807035175.879,-3.34266438591,41.4866223639
72,808542713.568,-3.38516587202,40.9688417183
73,810050251.256,-3.46044830422,39.8879234125
74,811557788.945,-3.47330028293,39.2568845494
