,Frequency, Formatted Data, Formatted Data.1
0,890000000.0,0.927495637828,-156.759152155
1,890251256.281,0.934441728593,-156.97646687
2,890502512.5630001,0.932981616741,-157.059504221
3,890753768.844,0.93049871258,-156.807063666
4,891005025.126,0.9381364607700001,-157.141293543
5,891256281.407,0.9335975790279999,-157.18458333799998
6,891507537.6880001,0.930785142314,-156.76798620600002
7,891758793.97,0.937137507441,-157.038520791
8,892010050.251,0.933253891926,-157.098137315
9,892261306.533,0.931087314327,-157.28052783299998
10,892512562.8139999,0.9324389317919999,-157.07762082899998
11,892763819.095,0.9358566704219999,-157.08126886899998
12,893015075.377,0.928352763537,-157.33854444600001
13,893266331.658,0.930318014271,-157.357111868
14,893517587.94,0.93465062675,-157.44916079799998
15,893768844.2210001,0.932838674564,-157.577523272
16,894020100.503,0.9313740890309999,-157.600219044
17,894271356.7839999,0.929838190314,-157.119458085
18,894522613.065,0.929916245837,-157.571031809
19,894773869.347,0.9308680953440001,-157.464757717
20,895025125.628,0.9349687759729999,-157.789460633
21,895276381.91,0.9322017316969999,-157.357925781
22,895527638.1910001,0.934767998061,-157.469664659
23,895778894.472,0.9308613515449999,-157.994209168
24,896030150.754,0.931214013885,-158.061400664
25,896281407.035,0.932976566463,-157.95387889100002
26,896532663.3169999,0.931582311787,-157.689792255
27,896783919.598,0.931164955587,-157.78979564600002
28,897035175.879,0.928275722273,-157.71108215799998
29,897286432.161,0.930972669576,-158.26849007799999
30,897537688.4419999,0.938455143698,-157.77087077299998
31,897788944.724,0.93215141748,-157.710855421
32,898040201.005,0.929854828689,-157.92507664
33,898291457.286,0.93203893743,-158.23959497
34,898542713.5680001,0.928839914916,-158.351106764
35,898793969.849,0.926080153664,-158.309573015
36,899045226.131,0.9351128143709999,-158.32138442299998
37,899296482.412,0.9332074735510001,-158.30387468200001
38,899547738.6930001,0.9352605618430001,-158.547588182
39,899798994.975,0.9314096781710001,-158.140143282
40,900050251.256,0.930133335628,-158.675271205
41,900301507.538,0.9304963194689999,-158.356924588
42,900552763.8189999,0.930584734538,-158.72343785
43,900804020.1010001,0.937065273963,-158.595775799
44,901055276.382,0.9327262842470001,-158.456996786
45,901306532.663,0.9331901991429999,-158.278242427
46,901557788.945,0.936088408548,-158.789298026
47,901809045.2260001,0.933666513076,-159.08085229600002
48,902060301.508,0.9284415563930001,-158.46442757
49,902311557.7889999,0.931119682043,-158.78272778299998
50,902562814.07,0.929423549971,-158.604579457
51,902814070.352,0.935544188909,-158.629714466
52,903065326.633,0.933858132667,-158.746618706
53,903316582.915,0.9336787226980001,-158.754494973
54,903567839.1960001,0.928425943973,-158.683425489
55,903819095.477,0.935780153081,-158.830554454
56,904070351.759,0.93174625948,-158.857196402
57,904321608.04,0.934281458837,-158.846477746
58,904572864.322,0.9335513260259999,-159.130436473
59,904824120.603,0.932098385936,-158.747067456
60,905075376.884,0.9297925787360001,-159.14098999799998
61,905326633.166,0.92626768472,-159.21112912200002
62,905577889.447,0.935063212248,-159.000789881
63,905829145.729,0.932425011569,-159.070889659
64,906080402.01,0.927209871452,-159.212089897
65,906331658.291,0.926605535057,-159.38961449299998
66,906582914.5730001,0.929967365259,-159.059827181
67,906834170.854,0.930463146062,-159.30298420100002
68,907085427.136,0.934918914806,-159.072372546
69,907336683.4169999,0.929105671741,-159.476576734
70,907587939.6980001,0.929743529165,-159.569225966
71,907839195.98,0.9311235164499999,-159.423030668
72,908090452.261,0.929799416982,-159.645419371
73,908341708.543,0.927209670561,-159.669043395
74,908592964.8239999,0.928291457016,-159.27732715
75,908844221.1060001,0.933058318526,-159.521964685
76,909095477.387,0.927608952816,-159.547468974
77,909346733.668,0.936376740045,-159.692505312
78,909597989.95,0.9268773231190001,-159.874404728
79,909849246.2310001,0.931887794335,-159.682555462
80,910100502.513,0.937120961736,-159.97508450799998
81,910351758.7939999,0.92985274563,-159.60535283299998
82,910603015.075,0.931170256894,-160.199079026
83,910854271.357,0.92930446169,-159.864409989
84,911105527.638,0.935018726648,-159.886330489
85,911356783.92,0.9300807026989999,-159.4472177
86,911608040.2010001,0.936646993846,-159.827939431
87,911859296.482,0.926500955096,-160.205933114
88,912110552.7639999,0.933978800447,-159.986874068
89,912361809.045,0.930691205051,-159.730342993
90,912613065.327,0.931378534769,-160.062316232
91,912864321.608,0.930442979516,-160.055534349
92,913115577.8889999,0.935050426381,-159.918821144
